documentPK,documentCode,document,statusFK,paymentMethodFK,startDate,endDate,flag
12,DEV25-01,devis,4,8,2026-03-23 14:20:03.508,,y
13,DEV25-05,devis,4,8,2026-03-23 14:20:03.508,,y
14,DEV25-04,devis,4,8,2026-03-23 14:20:03.508,,y
15,DEV25-08,devis,4,8,2026-03-23 14:20:03.508,,y
16,DEV25-13,devis,4,8,2026-03-23 14:20:03.508,,y
17,DEV24-24,devis,4,8,2026-03-23 14:20:03.508,,y
18,DEV24-17,devis,6,8,2026-03-23 14:20:03.508,,y
19,DEV24-18,devis,6,8,2026-03-23 14:20:03.508,,y
20,DEV24-19,devis,6,8,2026-03-23 14:20:03.508,,y
21,DEV24-20,devis,6,8,2026-03-23 14:20:03.508,,y
22,DEV25-14,devis,6,8,2026-03-23 14:20:03.508,,y
23,DEV25-06,devis,4,8,2026-03-23 14:20:03.508,,y
24,DEV25-07,devis,4,8,2026-03-23 14:20:03.508,,y
25,DEV25-12,devis,4,8,2026-03-23 14:20:03.508,,y
26,DEV25-02,devis,6,8,2026-03-23 14:20:03.508,,y
27,DEV25-03,devis,6,8,2026-03-23 14:20:03.508,,y
28,DEV24-15,devis,4,8,2026-03-23 14:20:03.508,,y
29,DEV24-21,devis,4,8,2026-03-23 14:20:03.508,,y
30,DEV24-22,devis,4,8,2026-03-23 14:20:03.508,,y
31,DEV24-23,devis,4,8,2026-03-23 14:20:03.508,,y
32,DEV25-09,devis,4,8,2026-03-23 14:20:03.508,,y
33,DEV25-10,devis,4,8,2026-03-23 14:20:03.508,,y
34,DEV26-01,devis,4,8,2026-03-23 14:20:03.508,,y
35,DEV24-16,devis,4,8,2026-03-23 14:20:03.508,,y
36,DEV25-11,devis,4,8,2026-03-23 14:20:03.508,,y
37,BL25-03,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
38,BL25-11,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
39,BL25-12,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
40,BL25-19,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
41,BL25-35,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
42,BL25-37,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
43,BL25-23,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
44,BL25-21,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
45,BL25-25,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
46,BL25-18,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
47,BL25-17,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
48,BL25-16,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
49,BL25-09,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
50,BL25-06,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
51,BL25-04,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
52,BL25-05,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
53,BL25-26,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
54,BL25-27,bon de livraison,4,8,2026-03-23 14:20:03.508,,y
