FactAchatPK,dateFK,documentFK,productFK,supplierFK,quantity,price,remise,total_ht,tva,timbre,total_ttc,startDate,endDate,flag
1,20250221,1326,6308,66,1.0,205.607,0,205.607,7.0,0,220.0,2026-03-24 13:30:36.329,,y
2,20250123,1327,6309,95,0,0,0,1250,19.0,1.0,1488.5,2026-03-24 13:30:36.334,,y
3,20250728,1328,6310,96,9.0,70,50.18,630.0,19.0,1.0,434.008,2026-03-24 13:30:36.334,,y
4,20250728,1328,6311,96,1.0,50,0.0,50.0,19.0,1.0,434.008,2026-03-24 13:30:36.334,,y
5,20250728,1328,6312,96,1.0,0,0.0,0.0,1.0,1.0,434.008,2026-03-24 13:30:36.334,,y
6,20250205,1329,6313,97,1.0,18.64,20.0,18.64,19.0,1.0,251.451,2026-03-24 13:30:36.334,,y
7,20250205,1329,6314,97,6.0,2.95,20.0,17.7,19.0,1.0,251.451,2026-03-24 13:30:36.334,,y
8,20250205,1329,6315,97,6.0,2.93,20.0,17.58,19.0,1.0,251.451,2026-03-24 13:30:36.334,,y
9,20250205,1329,6316,97,1.0,31.5,20.0,31.5,7.0,1.0,251.451,2026-03-24 13:30:36.334,,y
10,20250205,1329,6317,97,2.0,7.0,20.0,14.0,19.0,1.0,251.451,2026-03-24 13:30:36.334,,y
11,20250205,1329,6318,97,1.0,26.65,20.0,26.65,7.0,1.0,251.451,2026-03-24 13:30:36.336,,y
12,20250205,1329,6319,97,1.0,17.32,20.0,17.32,7.0,1.0,251.451,2026-03-24 13:30:36.336,,y
13,20250205,1329,6320,97,1.0,7.49,20.0,7.49,7.0,1.0,251.451,2026-03-24 13:30:36.336,,y
14,20250205,1329,6321,97,6.0,5.94,20.0,35.64,19.0,1.0,251.451,2026-03-24 13:30:36.336,,y
15,20250205,1329,6322,97,6.0,6.86,20.0,41.16,19.0,1.0,251.451,2026-03-24 13:30:36.336,,y
16,20250205,1329,6323,97,6.0,6.86,20.0,41.16,19.0,1.0,251.451,2026-03-24 13:30:36.336,,y
17,20250102,1330,6324,98,1.0,1000.0,0,1000.0,7.0,1.0,1071.0,2026-03-24 13:30:36.336,,y
18,20250718,1331,6325,30,200.0,0.9,0,180.0,0,1.0,298.5,2026-03-24 13:30:36.336,,y
19,20250718,1331,6326,30,200.0,0.35,0,70.0,0,1.0,298.5,2026-03-24 13:30:36.336,,y
20,20250327,1332,6327,30,30.0,3.6,0,108.0,19.0,1.0,129.52,2026-03-24 13:30:36.336,,y
21,20250910,1333,6325,30,200.0,0.9,0,180.0,0,1.0,298.5,2026-03-24 13:30:36.336,,y
22,20250910,1333,6328,30,200.0,0.35,0,70.0,0,1.0,298.5,2026-03-24 13:30:36.336,,y
23,20250228,1334,6329,30,1000.0,0.68,0,680.0,19.0,1.0,1940.7,2026-03-24 13:30:36.338,,y
24,20250228,1334,6330,30,1.0,320.0,0,320.0,19.0,1.0,1940.7,2026-03-24 13:30:36.338,,y
25,20250228,1334,6331,30,900.0,0.7,0,630.0,19.0,1.0,1940.7,2026-03-24 13:30:36.338,,y
26,20250313,1335,6332,30,865.0,0.98,0,847.7,19.0,1.0,1370.036,2026-03-24 13:30:36.338,,y
27,20250313,1335,6331,30,865.0,0.35,0,302.75,19.0,1.0,1370.036,2026-03-24 13:30:36.338,,y
28,20241108,1336,6333,29,500.0,2.5,0,1250.0,0,0,1250.0,2026-03-24 13:30:36.338,,y
29,20250205,1338,6337,99,15.0,16.82,0.0,252.29999,7.0,0,1965.734,2026-03-24 13:30:36.338,,y
30,20250205,1338,6338,99,15.0,12.14,0.0,182.1,7.0,0,1965.734,2026-03-24 13:30:36.338,,y
31,20250205,1338,6339,99,20.0,70.09,0.0,1401.7999,7.0,0,1965.734,2026-03-24 13:30:36.338,,y
32,20250201,1339,6340,100,0,0,0,75.63,19.0,12.6,102.6,2026-03-24 13:30:36.338,,y
33,20250301,1340,6340,100,0,0,0,25.21,19.0,4.2,34.2,2026-03-24 13:30:36.338,,y
34,20240601,1341,6340,100,0,0,0,64.286,19.0,10.71,87.21,2026-03-24 13:30:36.338,,y
