FactVentePK,dateFK,documentFK,channelFK,customerFK,productFK,price,quantity,remise,total_ht,tva,timbre,total_ttc,startDate,endDate,flag
1,20240220,558,4,47,6574,6,3,0,0,0,0,18,2026-03-24 22:55:56.616,,y
2,20260102,1418,4,48,6575,50,1,0,0,0,0,100,2026-03-24 22:55:56.621,,y
3,20251230,1418,4,49,6576,90,1,0,0,0,0,90,2026-03-24 22:55:56.621,,y
4,20251229,1418,4,50,6538,65,1,0,0,0,0,153,2026-03-24 22:55:56.621,,y
5,20251229,1418,4,50,6539,58,2,0,0,0,0,153,2026-03-24 22:55:56.623,,y
6,20251229,1418,4,50,6577,30,3,0,0,0,0,153,2026-03-24 22:55:56.623,,y
7,20251229,1418,4,51,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.623,,y
8,20251229,1418,4,52,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.623,,y
9,20251229,1418,4,53,6575,50,1,0,0,0,0,100,2026-03-24 22:55:56.623,,y
10,20251229,1418,4,54,6579,30,1,0,0,0,0,105,2026-03-24 22:55:56.623,,y
11,20251229,1418,4,54,6580,25,2,0,0,0,0,105,2026-03-24 22:55:56.623,,y
12,20251229,1418,4,54,6581,25,3,0,0,0,0,105,2026-03-24 22:55:56.623,,y
13,20251229,1418,4,54,6582,25,4,0,0,0,0,105,2026-03-24 22:55:56.623,,y
14,20251228,1418,4,55,6583,50,1,0,0,0,0,75,2026-03-24 22:55:56.623,,y
15,20251228,1418,4,55,6584,25,2,0,0,0,0,75,2026-03-24 22:55:56.623,,y
16,20251228,1418,4,56,6539,58,1,0,0,0,0,58,2026-03-24 22:55:56.623,,y
17,20251228,1418,4,57,6585,184,1,0,0,0,0,184,2026-03-24 22:55:56.623,,y
18,20251227,1418,4,58,6575,50,1,0,0,0,0,98,2026-03-24 22:55:56.63,,y
19,20251227,1418,4,58,6586,48,2,0,0,0,0,98,2026-03-24 22:55:56.63,,y
20,20251227,559,4,59,6538,65,1,0,0,0,0,65,2026-03-24 22:55:56.63,,y
21,20251227,560,4,60,6587,30,1,0,0,0,0,30,2026-03-24 22:55:56.63,,y
22,20251227,1418,4,61,6578,90,1,0,0,0,0,124,2026-03-24 22:55:56.63,,y
23,20251227,1418,4,61,6588,34,2,0,0,0,0,124,2026-03-24 22:55:56.63,,y
24,20251226,1418,4,62,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.63,,y
25,20251226,1418,4,63,6589,20,1,0,0,0,0,100,2026-03-24 22:55:56.633,,y
26,20251226,1418,4,64,6577,30,1,0,0,0,0,120,2026-03-24 22:55:56.633,,y
27,20251226,1418,4,65,6575,50,1,0,0,0,0,99.9,2026-03-24 22:55:56.633,,y
28,20251226,1418,4,65,6590,49.9,2,0,0,0,0,99.9,2026-03-24 22:55:56.633,,y
29,20251225,1418,4,66,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.635,,y
30,20231206,561,4,67,6591,19,1,0,0,0,0,19,2026-03-24 22:55:56.635,,y
31,20251225,1418,4,66,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.635,,y
32,20251225,1418,4,68,6578,90,1,0,0,0,0,90,2026-03-24 22:55:56.636,,y
33,20251225,1418,4,69,6592,90,1,0,0,0,0,90,2026-03-24 22:55:56.636,,y
34,20251224,1418,4,70,6593,20,1,0,0,0,0,75,2026-03-24 22:55:56.636,,y
35,20251224,1418,4,70,6594,30,2,0,0,0,0,75,2026-03-24 22:55:56.636,,y
36,20251224,1418,4,70,6580,25,3,0,0,0,0,75,2026-03-24 22:55:56.636,,y
37,20251224,1418,4,71,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.636,,y
38,20251224,1418,4,72,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.636,,y
39,20251224,1418,4,73,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.636,,y
40,20251224,1418,4,74,6595,90,1,0,0,0,0,90,2026-03-24 22:55:56.636,,y
41,20251224,1418,4,75,6596,80,1,0,0,0,0,105,2026-03-24 22:55:56.636,,y
42,20251224,1418,4,75,6597,25,2,0,0,0,0,105,2026-03-24 22:55:56.636,,y
43,20251224,562,4,76,6598,100,1,0,0,0,0,150,2026-03-24 22:55:56.636,,y
44,20251224,562,4,76,6583,50,2,0,0,0,0,150,2026-03-24 22:55:56.636,,y
45,20251224,1418,4,77,6581,25,1,0,0,0,0,100,2026-03-24 22:55:56.643,,y
46,20251224,1418,4,77,6582,25,2,0,0,0,0,100,2026-03-24 22:55:56.643,,y
47,20251224,1418,4,77,6599,30,3,0,0,0,0,100,2026-03-24 22:55:56.643,,y
48,20251224,1418,4,77,6600,20,4,0,0,0,0,100,2026-03-24 22:55:56.643,,y
49,20251224,1418,4,78,6580,25,1,0,0,0,0,100,2026-03-24 22:55:56.643,,y
50,20251224,1418,4,79,6589,20,1,0,0,0,0,89.9,2026-03-24 22:55:56.643,,y
51,20251224,1418,4,79,6590,49.9,2,0,0,0,0,89.9,2026-03-24 22:55:56.643,,y
52,20251224,1418,4,79,6601,20,3,0,0,0,0,89.9,2026-03-24 22:55:56.643,,y
53,20251224,1418,4,80,6539,58,1,0,0,0,0,58,2026-03-24 22:55:56.643,,y
54,20251224,1418,4,81,6601,20,1,0,0,0,0,89.9,2026-03-24 22:55:56.643,,y
55,20251224,1418,4,81,6602,20,2,0,0,0,0,89.9,2026-03-24 22:55:56.643,,y
56,20251224,1418,4,81,6590,49.9,3,0,0,0,0,89.9,2026-03-24 22:55:56.643,,y
57,20251224,1418,4,82,6603,150,1,0,0,0,0,150,2026-03-24 22:55:56.643,,y
58,20251223,1418,4,83,6604,45,1,0,0,0,0,123,2026-03-24 22:55:56.643,,y
59,20251223,1418,4,83,6586,48,2,0,0,0,0,123,2026-03-24 22:55:56.643,,y
