Fact_financePK,DateFK,CustomerFK,SupplierFk,DocumentFK,Total_HT,Total_TTC
1,20250221,0,66,1326,205.607,220
2,20250123,0,94,1327,1250,1488.5
3,20250728,0,95,1328,680,434.008
4,20250728,0,95,1328,680,434.008
5,20250728,0,95,1328,680,434.008
6,20250205,0,96,1329,0,251.451
7,20250205,0,96,1329,0,251.451
8,20250205,0,96,1329,0,251.451
9,20250205,0,96,1329,0,251.451
10,20250205,0,96,1329,0,251.451
11,20250205,0,96,1329,0,251.451
12,20250205,0,96,1329,0,251.451
13,20250205,0,96,1329,0,251.451
14,20250205,0,96,1329,0,251.451
15,20250205,0,96,1329,0,251.451
16,20250205,0,96,1329,0,251.451
17,20250102,0,97,1330,1000,1071
18,20250718,0,30,1331,180,298.5
19,20250718,0,30,1331,70,298.5
20,20250327,0,30,1332,108,129.52
21,20250910,0,30,1333,180,298.5
22,20250910,0,30,1333,70,298.5
23,20250228,0,30,1334,680,1940.7
24,20250228,0,30,1334,320,1940.7
25,20250228,0,30,1334,630,1940.7
26,20250313,0,30,1335,847.7,1370.036
27,20250313,0,30,1335,302.75,1370.036
28,20241108,0,29,1336,1250,1250
29,20250128,0,58,1337,0,43
30,20250128,0,58,1337,0,43
31,20250128,0,58,1337,0,43
32,20250205,0,98,1338,252.3,1965.734
33,20250205,0,98,1338,182.1,1965.734
34,20250205,0,98,1338,1401.8,1965.734
35,20250201,0,99,1339,75.63,102.6
36,20250301,0,99,1340,25.21,34.2
37,20240601,0,99,1341,64.286,87.21
38,20240701,0,99,1342,64.286,87.21
39,20240801,0,99,1343,64.286,87.21
40,20240901,0,99,1344,64.286,87.21
41,20241001,0,99,1345,64.286,87.21
42,20241101,0,99,1346,64.286,87.21
43,20250402,0,15,1347,18700,20010
44,20250923,0,15,1348,90,422.58
45,20250923,0,15,1348,28,422.58
46,20250923,0,15,1348,60,422.58
47,20250923,0,15,1348,216,422.58
48,20251111,0,15,1349,60,161.5
49,20251111,0,15,1349,90,161.5
50,20250212,0,15,1350,150,456.82
51,20250212,0,15,1350,72,456.82
52,20250212,0,15,1350,102,456.82
53,20250212,0,15,1350,102,456.82
54,20251111,0,15,1351,90,408.349
55,20251111,0,15,1351,297,408.349
56,20250923,0,15,1352,90,874.12
57,20250923,0,15,1352,84,874.12
58,20250923,0,15,1352,300,874.12
59,20250923,0,15,1352,270,874.12
60,20250923,0,15,1352,72,874.12
61,20250226,0,15,1353,13050,13964.5
62,20250829,0,15,1354,150,1678.76
63,20250829,0,15,1354,150,1678.76
64,20250829,0,15,1354,140,1678.76
65,20250829,0,15,1354,300,1678.76
66,20250829,0,15,1354,270,1678.76
