FactShippingPK,CustomerFK,ProductFK,DateFK,DocumentFK,Quantity,PriceProduct,ShippingPrice
1,48,0,20240220,558,1,6,7
2,49,6575,20260102,0,2,50,8
3,50,6576,20251230,0,1,90,8
4,51,6538,20251229,0,1,65,0
5,51,6539,20251229,0,1,58,0
6,51,7425,20251229,0,1,30,0
7,52,7370,20251229,0,1,90,8
8,53,7370,20251229,0,1,90,8
9,54,6575,20251229,0,2,50,8
10,55,6579,20251229,0,1,30,8
11,55,6580,20251229,0,1,25,8
12,55,6581,20251229,0,1,25,8
13,55,6582,20251229,0,1,25,8
14,56,6583,20251228,0,1,50,8
15,56,6584,20251228,0,1,25,8
16,57,6539,20251228,0,1,58,8
17,58,6585,20251228,0,1,184,0
18,59,6575,20251227,0,1,50,8
19,59,6586,20251227,0,1,48,8
20,60,6538,20251227,559,1,65,8
21,61,7378,20251227,560,1,30,8
22,62,7370,20251227,0,1,90,8
23,62,7371,20251227,0,1,34,8
24,63,7370,20251226,0,1,90,8
25,64,6589,20251226,0,5,20,8
26,65,7425,20251226,0,4,30,8
27,66,6575,20251226,0,1,50,8
28,66,6590,20251226,0,1,"49,9",8
29,67,7370,20251225,0,1,90,8
30,68,0,20231206,561,1,19,0
31,67,7370,20251225,0,1,90,8
32,69,7370,20251225,0,1,90,8
33,70,6592,20251225,0,1,90,8
34,71,6593,20251224,0,1,20,8
35,71,6594,20251224,0,1,30,8
36,71,6580,20251224,0,1,25,8
37,72,6595,20251224,0,1,90,8
38,73,6595,20251224,0,1,90,8
39,74,6595,20251224,0,1,90,8
40,75,6595,20251224,0,1,90,8
41,76,7393,20251224,0,1,80,8
42,76,6597,20251224,0,1,25,8
43,77,6598,20251224,562,1,100,0
44,77,6583,20251224,562,1,50,0
45,78,6581,20251224,0,1,25,8
46,78,6582,20251224,0,1,25,8
47,78,6599,20251224,0,1,30,8
48,78,7422,20251224,0,1,20,8
49,79,6580,20251224,0,4,25,8
50,80,6589,20251224,0,1,20,8
51,80,6590,20251224,0,1,"49,9",8
52,80,6601,20251224,0,1,20,8
53,81,6539,20251224,0,1,58,8
54,82,6601,20251224,0,1,20,8
55,82,6602,20251224,0,1,20,8
56,82,6590,20251224,0,1,"49,9",8
57,83,6603,20251224,0,1,150,0
58,84,6604,20251223,0,1,45,8
59,84,6586,20251223,0,1,48,8
60,84,7378,20251223,0,1,30,8
61,85,7425,20251222,0,1,30,8
62,85,6590,20251222,0,1,"49,9",8
63,85,7425,20251222,0,1,30,8
64,85,6590,20251222,0,1,"49,9",8
65,86,6595,20251222,0,1,90,8
66,87,6595,20251219,0,1,90,8
67,88,7370,20251218,0,1,90,8
68,89,6586,20251217,0,1,48,8
69,89,6604,20251217,0,1,45,8
70,90,6590,20251217,563,2,"49,9",8
71,91,6605,20251217,0,1,50,8
72,91,6606,20251217,0,1,56,8
73,92,6607,20251215,0,1,90,8
74,93,6595,20251214,0,1,90,8
75,94,7425,20251214,0,2,30,8
76,94,6579,20251214,0,1,30,8
77,95,6580,20251213,0,1,25,8
78,95,6584,20251213,0,1,25,8
79,95,6582,20251213,0,1,25,8
80,95,6581,20251213,0,1,25,8
81,96,7393,20251212,0,1,80,8
82,96,6584,20251212,0,1,25,8
83,97,6590,20251212,0,1,"49,9",8
84,97,6608,20251212,0,1,20,8
85,97,6589,20251212,0,1,20,8
86,98,6634,20251212,0,1,119,8
87,99,6590,20251211,0,1,"49,9",8
88,99,7371,20251211,0,1,34,8
89,99,6584,20251211,0,1,25,8
90,100,6538,20251211,0,1,65,8
91,100,6584,20251211,0,1,25,8
92,101,6634,20251211,0,1,119,8
93,102,6590,20251211,0,2,"49,9",8
94,103,6580,20251211,0,1,25,8
95,103,6584,20251211,0,1,25,8
96,103,6590,20251211,0,1,"49,9",8
97,104,6575,20251211,0,1,50,8
98,104,6590,20251211,0,1,"49,9",8
99,105,6662,20251210,0,1,80,8
100,106,6595,20251210,0,1,90,8
101,107,6595,20251210,564,1,90,8
102,108,7370,20251209,0,1,90,8
103,109,7370,20251209,0,1,90,8
104,110,7425,20251208,565,2,30,8
105,110,6584,20251208,565,1,25,8
106,111,6595,20251205,566,1,90,8
107,111,6580,20251205,566,1,25,8
108,112,6611,20251205,567,1,119,8
109,113,7370,20251204,568,1,90,8
110,114,6634,20251204,569,1,119,8
111,115,6595,20251203,570,1,90,8
112,116,6605,20251202,571,1,50,8
113,116,6589,20251202,571,1,20,8
114,116,6613,20251202,571,1,30,8
115,117,6583,20251201,572,1,50,8
116,117,6590,20251201,572,1,"49,9",8
117,118,7316,20251201,573,1,25,8
118,119,6634,20251201,574,1,119,8
119,120,6576,20251127,575,1,90,8
120,121,6583,20251125,576,1,50,8
121,121,6580,20251125,576,2,25,8
122,122,6601,20251125,577,1,20,8
123,122,6615,20251125,577,1,35,8
124,122,7378,20251125,577,1,30,8
125,123,7425,20251123,578,1,30,8
126,123,6594,20251123,578,1,30,8
127,123,6599,20251123,578,1,30,8
128,124,7371,20251121,579,1,34,8
129,124,7370,20251121,579,1,90,8
130,125,6662,20251120,580,1,80,8
131,126,6580,20251120,581,1,25,8
132,126,6584,20251120,581,1,25,8
133,126,7371,20251120,581,1,34,8
134,127,6601,20251117,582,1,20,8
135,127,6582,20251117,582,1,25,8
136,127,6580,20251117,582,1,25,8
137,127,7371,20251117,582,1,34,8
138,128,6575,20251117,583,2,50,8
139,129,6590,20251114,584,1,"49,9",8
140,129,6584,20251114,584,1,25,8
141,129,6580,20251114,584,1,25,8
142,130,7425,20251114,585,1,30,8
143,130,6597,20251114,585,1,25,8
144,130,6604,20251114,585,1,45,8
145,131,6616,20251114,586,1,46,8
146,131,6617,20251114,586,1,50,8
147,132,6584,20251112,587,1,25,8
148,132,6618,20251112,587,1,30,8
149,132,6580,20251112,587,1,25,8
150,133,7425,20251111,588,1,30,8
151,133,6584,20251111,588,1,25,8
152,133,6618,20251111,588,2,30,8
153,134,6608,20251110,589,5,20,8
154,135,6606,20251108,590,1,56,8
155,135,6605,20251108,590,1,50,8
156,136,6590,20251106,591,1,"49,9",8
157,136,6605,20251106,591,1,50,8
158,137,6575,20251106,592,1,50,8
159,137,6582,20251106,592,1,25,8
160,137,7425,20251106,592,1,30,8
161,138,6590,20251104,593,1,"49,9",8
162,138,7361,20251104,593,1,"49,9",8
163,139,7370,20251104,594,1,90,8
164,140,6539,20251102,595,1,58,8
165,141,6662,20251031,596,1,80,8
166,141,6584,20251031,596,1,25,8
167,142,6595,20251031,597,1,90,8
168,143,6620,20251031,598,1,20,8
169,143,6589,20251031,598,1,20,8
170,143,6601,20251031,598,1,20,8
171,143,6584,20251031,598,1,25,8
172,143,6580,20251031,598,1,25,8
173,144,6621,20251030,599,1,90,8
174,145,6634,20251030,600,1,119,8
175,146,6662,20251029,601,1,80,8
176,147,6601,20251028,602,1,20,8
177,147,6602,20251028,602,1,20,8
178,147,6584,20251028,602,1,25,8
179,147,7371,20251028,602,1,34,8
180,148,6611,20251028,603,1,119,8
181,149,6575,20251025,604,2,50,8
182,150,6580,20251023,605,1,25,8
183,150,6584,20251023,605,1,25,8
184,150,7425,20251023,605,1,30,8
185,150,6618,20251023,605,1,30,8
186,151,6580,20251022,606,1,25,8
187,152,6622,20251022,607,1,60,8
188,152,6575,20251022,607,1,50,8
189,153,6584,20251020,608,1,25,8
190,153,6580,20251020,608,2,25,8
191,153,6581,20251020,608,1,25,8
192,154,7361,20251020,609,1,"49,9",8
193,154,6575,20251020,609,1,50,8
194,155,7422,20251020,610,2,20,8
195,155,6623,20251020,610,2,25,8
196,156,6595,20251020,611,1,90,8
197,157,7425,20251020,612,1,30,8
198,157,6580,20251020,612,1,25,8
199,157,6624,20251020,612,1,30,8
200,157,6608,20251020,612,1,20,8
201,158,7370,20251020,613,1,90,8
202,159,6580,20251018,614,2,25,8
203,159,6604,20251018,614,1,45,8
204,160,6580,20251016,615,2,25,8
205,160,6624,20251016,615,1,30,8
206,160,6584,20251016,615,1,25,8
207,161,6608,20251014,616,4,20,8
208,162,7425,20251013,617,2,30,8
209,162,6575,20251013,617,1,50,8
210,163,7378,20231230,618,1,30,0
211,164,6584,20251013,619,1,25,8
212,164,6581,20251013,619,1,25,8
213,164,6582,20251013,619,1,25,8
214,164,6580,20251013,619,1,25,8
215,162,6625,20251013,620,1,120,8
216,165,6618,20251012,621,1,30,8
217,165,7361,20251012,621,1,"49,9",8
218,165,6582,20251012,621,1,25,8
219,166,6595,20251009,622,1,90,8
220,166,6626,20251009,622,1,20,8
221,167,7370,20251007,623,1,90,8
222,168,6586,20251003,624,1,48,8
223,169,6602,20251003,625,1,20,8
224,169,6662,20251003,625,1,80,8
