documentPK,documentCode,document,status,paymentMethod
24,DEV25-07,devis,terminé,aucun
25,DEV25-12,devis,terminé,aucun
26,DEV25-02,devis,annulé,aucun
27,DEV25-03,devis,annulé,aucun
28,DEV24-15,devis,terminé,aucun
29,DEV24-21,devis,terminé,aucun
30,DEV24-22,devis,terminé,aucun
31,DEV24-23,devis,terminé,aucun
32,DEV25-09,devis,terminé,aucun
33,DEV25-10,devis,terminé,aucun
34,DEV26-01,devis,terminé,aucun
35,DEV24-16,devis,terminé,aucun
36,DEV25-11,devis,terminé,aucun
37,BL25-03,bon de livraison,terminé,aucun
38,BL25-11,bon de livraison,terminé,aucun
39,BL25-12,bon de livraison,terminé,aucun
40,BL25-19,bon de livraison,terminé,aucun
41,BL25-35,bon de livraison,terminé,aucun
42,BL25-37,bon de livraison,terminé,aucun
43,BL25-23,bon de livraison,terminé,aucun
44,BL25-21,bon de livraison,terminé,aucun
45,BL25-25,bon de livraison,terminé,aucun
46,BL25-18,bon de livraison,terminé,aucun
47,BL25-17,bon de livraison,terminé,aucun
48,BL25-16,bon de livraison,terminé,aucun
49,BL25-09,bon de livraison,terminé,aucun
50,BL25-06,bon de livraison,terminé,aucun
51,BL25-04,bon de livraison,terminé,aucun
52,BL25-05,bon de livraison,terminé,aucun
53,BL25-26,bon de livraison,terminé,aucun
54,BL25-27,bon de livraison,terminé,aucun
55,BL25-24,bon de livraison,terminé,aucun
56,BL25-22,bon de livraison,terminé,aucun
57,BL25-14,bon de livraison,terminé,aucun
58,BL25-20,bon de livraison,terminé,aucun
59,BL25-36,bon de livraison,terminé,aucun
60,BL25-10,bon de livraison,terminé,aucun
61,BL25-15,bon de livraison,terminé,aucun
62,BL25-07,bon de livraison,terminé,aucun
63,BL25-08,bon de livraison,terminé,aucun
64,BL25-28,bon de livraison,terminé,aucun
65,BL25-29,bon de livraison,terminé,aucun
1,DEV25-01,devis,terminé,aucun
2,DEV25-05,devis,terminé,aucun
3,DEV25-04,devis,terminé,aucun
4,DEV25-08,devis,terminé,aucun
5,DEV25-13,devis,terminé,aucun
6,DEV24-24,devis,terminé,aucun
7,DEV24-17,devis,annulé,aucun
8,DEV24-18,devis,annulé,aucun
9,DEV24-19,devis,annulé,aucun
10,DEV24-20,devis,annulé,aucun
11,DEV25-14,devis,annulé,aucun
12,DEV25-01,devis,terminé,aucun
13,DEV25-05,devis,terminé,aucun
14,DEV25-04,devis,terminé,aucun
15,DEV25-08,devis,terminé,aucun
16,DEV25-13,devis,terminé,aucun
17,DEV24-24,devis,terminé,aucun
18,DEV24-17,devis,annulé,aucun
19,DEV24-18,devis,annulé,aucun
20,DEV24-19,devis,annulé,aucun
21,DEV24-20,devis,annulé,aucun
22,DEV25-14,devis,annulé,aucun
23,DEV25-06,devis,terminé,aucun
66,BL25-30,bon de livraison,terminé,aucun
67,BL25-31,bon de livraison,terminé,aucun
68,BL24-02,bon de livraison,terminé,aucun
69,BL25-32,bon de livraison,terminé,aucun
70,BL25-33,bon de livraison,terminé,aucun
71,BC25-1,bon de commande,terminé,aucun
72,FAC25-07,facture_vente,payé,virement
73,FAC25-10,facture_vente,payé,virement
74,FAC25-12,facture_vente,payé,virement
75,FAC25-11,facture_vente,payé,virement
76,FAC25-32,facture_vente,payé,virement
77,FAC25-36,facture_vente,payé,virement
78,FAC25-37,facture_vente,payé,virement
79,FAC25-13,facture_vente,payé,virement
80,FAC25-02,facture_vente,payé,virement
81,FAC25-29,facture_vente,payé,virement
82,FAC25-38,facture_vente,payé,virement
83,FAC24-019,facture_vente,payé,virement
84,FAC24-021,facture_vente,payé,virement
85,FAC24-023,facture_vente,payé,virement
86,FAC25-01,facture_vente,payé,virement
87,FAC25-05,facture_vente,payé,virement
88,FAC25-08,facture_vente,payé,virement
89,FAC25-15,facture_vente,payé,virement
90,FAC25-18,facture_vente,payé,virement
91,FAC25-20,facture_vente,payé,virement
92,FAC25-21,facture_vente,payé,virement
93,FAC25-23,facture_vente,payé,virement
94,FAC25-26,facture_vente,payé,virement
95,FAC25-30,facture_vente,payé,virement
96,FAC25-34,facture_vente,payé,virement
97,FAC25-03,facture_vente,payé,virement
98,FAC25-06,facture_vente,payé,virement
99,FAC25-09,facture_vente,payé,virement
100,FAC25-14,facture_vente,payé,virement
101,FAC25-16,facture_vente,payé,virement
102,FAC25-17,facture_vente,payé,virement
103,FAC25-19,facture_vente,payé,virement
104,FAC25-22,facture_vente,payé,virement
105,FAC25-24,facture_vente,payé,virement
106,FAC25-25,facture_vente,payé,virement
107,FAC25-31,facture_vente,payé,virement
108,FAC25-33,facture_vente,payé,virement
109,FAC24-022,facture_vente,payé,virement
110,FAC25-35,facture_vente,payé,virement
111,FAC24-020,facture_vente,payé,virement
112,FAC24-024,facture_vente,payé,virement
113,FAC25-04,facture_vente,payé,virement
114,FAC25-27,facture_vente,payé,virement
115,FAC25-28,facture_vente,payé,virement
116,C-11888,bon de commande,Terminée,aucun
