supplierFK,productFK,documentFK,dateFK,quantity,price,remise,total_ht,tva,timbre
66,6307,1326,20250221,1.0,205.607,0,205.607,7.0,0
94,6307,1327,20250123,0,0,0,1250,19.0,1.0
95,6310,1328,20250728,9.0,70,50.18,630.0,19.0,1.0
95,6311,1328,20250728,1.0,50,0.0,50.0,19.0,1.0
95,6312,1328,20250728,1.0,0,0.0,0.0,1.0,1.0
96,6313,1329,20250205,1.0,18.64,20.0,18.64,19.0,1.0
96,6314,1329,20250205,6.0,2.95,20.0,17.7,19.0,1.0
96,6315,1329,20250205,6.0,2.93,20.0,17.58,19.0,1.0
96,6316,1329,20250205,1.0,31.5,20.0,31.5,7.0,1.0
96,6317,1329,20250205,2.0,7.0,20.0,14.0,19.0,1.0
96,6318,1329,20250205,1.0,26.65,20.0,26.65,7.0,1.0
96,6319,1329,20250205,1.0,17.32,20.0,17.32,7.0,1.0
96,6320,1329,20250205,1.0,7.49,20.0,7.49,7.0,1.0
96,6321,1329,20250205,6.0,5.94,20.0,35.64,19.0,1.0
96,6322,1329,20250205,6.0,6.86,20.0,41.16,19.0,1.0
96,6323,1329,20250205,6.0,6.86,20.0,41.16,19.0,1.0
97,6307,1330,20250102,1.0,1000.0,0,1000.0,7.0,1.0
30,6325,1331,20250718,200.0,0.9,0,180.0,0,1.0
30,6331,1331,20250718,200.0,0.35,0,70.0,0,1.0
30,6327,1332,20250327,30.0,3.6,0,108.0,19.0,1.0
30,6325,1333,20250910,200.0,0.9,0,180.0,0,1.0
30,6331,1333,20250910,200.0,0.35,0,70.0,0,1.0
30,6329,1334,20250228,1000.0,0.68,0,680.0,19.0,1.0
30,6330,1334,20250228,1.0,320.0,0,320.0,19.0,1.0
30,6331,1334,20250228,900.0,0.7,0,630.0,19.0,1.0
30,6332,1335,20250313,865.0,0.98,0,847.7,19.0,1.0
30,6331,1335,20250313,865.0,0.35,0,302.75,19.0,1.0
29,6307,1336,20241108,500.0,2.5,0,1250.0,0,0
0,6307,1337,20250128,1.0,12.605,0.0,12.605,19.0,0.0
0,6307,1337,20250128,1.0,21.429,0.0,21.429,19.0,0.0
0,6307,1337,20250128,1.0,1.261,0.0,1.261,19.0,0.0
98,6307,1338,20250205,15.0,16.82,0.0,252.29999,7.0,0
98,6307,1338,20250205,15.0,12.14,0.0,182.1,7.0,0
98,6307,1338,20250205,20.0,70.09,0.0,1401.7999,7.0,0
99,6307,1339,20250201,0,0,0,75.63,19.0,12.6
99,6307,1340,20250301,0,0,0,25.21,19.0,4.2
99,6307,1341,20240601,0,0,0,64.286,19.0,10.71
99,6307,1342,20240701,0,0,0,64.286,19.0,10.71
99,6307,1343,20240801,0,0,0,64.286,19.0,10.71
99,6307,1344,20240901,0,0,0,64.286,19.0,10.71
99,6307,1345,20241001,0,0,0,64.286,19.0,10.71
99,6307,1346,20241101,0,0,0,64.286,19.0,10.71
15,6307,1347,20250402,850.0,22,0,18700.0,0,1.0
15,6307,1348,20250923,3.0,30,0,90.0,0,1.0
15,6307,1348,20250923,1.0,28,0,28.0,0,1.0
15,6307,1348,20250923,6.0,10,0,60.0,0,1.0
15,6307,1348,20250923,24.0,9,0,216.0,0,1.0
15,6307,1349,20251111,2.0,30,0,60.0,0,1.0
15,6307,1349,20251111,3.0,30,0,90.0,0,1.0
15,6307,1350,20250212,5.0,30,0,150.0,0,1.0
15,6307,1350,20250212,6.0,12,0,72.0,0,1.0
15,6307,1350,20250212,6.0,17,0,102.0,0,1.0
15,6307,1350,20250212,6.0,17,0,102.0,0,1.0
15,6307,1351,20251111,3.0,30,0,90.0,0,1.0
15,6307,1351,20251111,33.0,9,0,297.0,0,1.0
15,6307,1352,20250923,3.0,30,0,90.0,0,1.0
15,6307,1352,20250923,3.0,28,0,84.0,0,1.0
15,6307,1352,20250923,30.0,10,0,300.0,0,1.0
15,6307,1352,20250923,30.0,9,0,270.0,0,1.0
15,6307,1352,20250923,6.0,12,0,72.0,0,1.0
15,6307,1353,20250226,900.0,"14,5",0,13050.0,0,1.0
15,6307,1354,20250829,5.0,30,0,150.0,0,1.0
15,6307,1354,20250829,5.0,30,0,150.0,0,1.0
15,6307,1354,20250829,5.0,28,0,140.0,0,1.0
15,6307,1354,20250829,30.0,10,0,300.0,0,1.0
15,6307,1354,20250829,30.0,9,0,270.0,0,1.0
15,6307,1354,20250829,6.0,14,0,84.0,0,1.0
15,6307,1354,20250829,30.0,9,0,270.0,0,1.0
15,6307,1354,20250829,12.0,17,0,204.0,0,1.0
15,6307,1355,20250818,1.0,"32,71",0,32.71,0,1.0
15,6307,1355,20250818,2.0,"30,841",0,61.682,0,1.0
15,6307,1355,20250818,1.0,24,0,24.0,0,1.0
15,6307,1355,20250818,3.0,30,0,90.0,0,1.0
15,6307,1355,20250818,1.0,28,0,28.0,0,1.0
15,6307,1355,20250818,18.0,10,0,180.0,0,1.0
15,6307,1355,20250818,6.0,9,0,54.0,0,1.0
15,6307,1355,20250818,3.0,45,0,135.0,0,1.0
15,6307,1355,20250818,6.0,6,0,36.0,0,1.0
15,6307,1355,20250818,6.0,"8,5",0,51.0,0,1.0
15,6307,1356,20250114,5.0,30,0,150.0,0,1.0
15,6307,1356,20250114,5.0,30,0,150.0,0,1.0
15,6307,1356,20250114,5.0,28,0,140.0,0,1.0
15,6307,1356,20250114,30.0,9,0,270.0,0,1.0
15,6307,1356,20250114,6.0,12,0,72.0,0,1.0
15,6307,1356,20250114,6.0,17,0,102.0,0,1.0
15,6307,1356,20250114,30.0,10,0,300.0,0,1.0
15,6307,1356,20250114,6.0,17,0,102.0,0,1.0
15,6307,1357,20241222,5.0,30,0,150.0,0,1.0
15,6307,1357,20241222,5.0,28,0,140.0,0,1.0
15,6307,1357,20241222,60.0,9,0,540.0,0,1.0
100,6307,1358,20250908,1.0,418.8,0,418.8,19.0,1.0
100,6307,1358,20250908,1.0,0.0,0,0.0,19.0,0.0
0,6364,1359,20250203,1.0,88.536,0,88.536,19.0,0
0,6364,1359,20250203,1.0,49.98,0,49.98,19.0,0
0,6364,1359,20250203,1.0,57.12,0,57.12,19.0,0
