date_pk,documentPK,reach,impressions,frequency,result,price,views
20250211,1430,0,0,0,0,2.00 $US,0
20250211,1431,0,0,0,0,2.00 $US,0
20250211,1432,0,0,0,0,2.00 $US,0
20250211,1433,0,0,0,0,2.00 $US,0
20250211,1434,0,0,0,0,3.00 $US,0
20250212,1435,0,0,0,0,5.00 $US,0
20250212,1436,0,0,0,0,5.00 $US,0
20250212,1437,0,0,0,0,8.00 $US,0
20250214,1438,0,0,0,0,12.00 $US,0
20250215,1439,0,0,0,0,18.00 $US,0
20250301,1440,0,0,0,0,20.00 $US,0
20250301,1441,0,0,0,0,22.00 $US,0
20250304,1442,0,0,0,0,26.53 $US,0
20250103,1443,0,0,0,0,"100 DT,000",0
20250625,1444,0,0,0,0,200 DT,0
20250922,1445,0,0,0,0,200 DT,0
20250122,1446,0,0,0,0,"300 DT,000",0
20250207,1447,0,0,0,0,"70 DT,000",0
20250210,1448,0,0,0,0,250 DT,0
20250226,1449,0,0,0,0,200 DT,0
20250304,1450,0,0,0,0,300 DT,0
20250326,1451,0,0,0,0,300 DT,0
20250513,1452,0,0,0,0,200 DT,0
20250603,1453,0,0,0,0,300 DT,0
20250721,1454,1357,1557,"1,14738394",1,"1,88","66,66666667"
20250804,1455,1865,2094,"1,1227882",1,"1,82","37,03703704"
20250721,1456,1458,1711,"1,17352538",1,"1,71","66,66666667"
20250721,1457,1691,1881,"1,11235955",1,"1,63","57,5"
20250814,1458,2578,2693,"1,04460822",1,"1,27","37,03703704"
20250814,1459,2040,2117,"1,0377451",1,"1,14","29,03225806"
20250814,1460,1983,1998,"1,0075643",1,"1,07","36,66666667"
20250814,1461,2387,2467,"1,03351487",1,"1,02",50
20250814,1462,2010,2099,"1,04427861",1,"0,95","40,90909091"
20250814,1463,1702,1790,"1,05170388",1,"0,94","53,84615385"
20250804,1464,1779,1918,"1,07813378",2,"1,8","32,25806452"
20250804,1465,1825,2083,"1,14136986",2,"1,8","46,34146341"
20250804,1466,2387,2654,"1,11185589",2,"1,78",50
20250727,1467,3784,4628,"1,2230444",5,"3,69",48
20250812,1460,1216,1255,"1,03207237",1,"0,62","65,38461538"
20250814,1468,1333,1400,"1,05026257",1,"0,61","47,36842105"
20250814,1469,2196,2196,1,2,"1,21","57,69230769"
20250814,1460,2182,2262,"1,03666361",2,"1,14","45,16129032"
20250814,1470,1051,1060,"1,00856327",1,"0,54","45,45454545"
20250814,1471,926,966,"1,04319654",1,"0,54",50
20250814,1472,996,1010,"1,01405622",1,"0,51","42,85714286"
20250814,1473,1684,1760,"1,04513064",2,"0,98","44,44444444"
20250814,1474,2050,2067,"1,00829268",2,"0,92","45,83333333"
20250721,1475,1489,1645,"1,1047683",4,"1,72","68,18181818"
20250727,1460,4694,5649,"1,20345121",10,"3,55","59,2920354"
20250812,1476,617,647,"1,04862237",1,"0,33","28,57142857"
20250814,1477,1098,1125,"1,02459016",2,"0,64","58,33333333"
20250812,1464,488,501,"1,02663934",1,"0,32",60
20250812,1464,481,494,"1,02702703",1,"0,31","46,15384615"
20250814,1478,1073,1109,"1,03355079",2,"0,61","68,42105263"
20250814,1479,1695,1755,"1,03539823",3,"0,83","52,38095238"
20250814,1480,1426,1516,"1,0631136",3,"0,61","66,66666667"
20250804,1476,1533,1891,"1,23352903",9,"1,83","58,06451613"
20250812,1460,1187,1242,"1,0463353",3,"0,59",50
20250814,1481,29,31,"1,06896552",1,0,100
20250814,1482,2386,2474,"1,03688181",0,"1,07","18,18181818"
20250814,1483,123,125,"1,01626016",0,0,50
20250715,1484,1510,1697,"1,12384106",0,"1,61","55,55555556"
20250814,1485,18,18,1,0,0,0
20250814,1467,33,33,1,0,0,0
20250814,1460,1664,1722,"1,03485577",0,"0,88","29,16666667"
20250814,1486,1341,1400,"1,04399702",0,"0,55","20,83333333"
20250814,1487,99,101,"1,02020202",0,0,100
20250814,1488,1309,1396,"1,06646295",0,"0,51","53,84615385"
20250814,1489,129,133,"1,03100775",0,0,100
20250814,1490,101,103,"1,01980198",0,"0,02",0
20250814,1491,156,157,"1,00641026",0,"0,01","33,33333333"
20250721,1492,1905,2411,"1,2656168",0,"1,7","60,71428571"
20250812,1493,1098,1156,"1,05282332",0,"0,64","70,58823529"
20250812,1465,721,755,"1,04715673",0,"0,61",50
20250812,1467,109,113,"1,03669725",0,0,0
20250812,1467,115,117,"1,0173913",0,0,50
20250814,1494,45,45,1,0,0,100
20250814,1495,2119,2210,"1,04294479",0,"1,12","45,16129032"
20250814,1496,22,24,"1,09090909",0,0,0
20250814,1497,2174,2224,"1,02299908",0,"1,05","43,47826087"
20250814,1498,16,17,"1,0625",0,0,0
20250814,1499,1119,1183,"1,05719392",0,"0,29","33,33333333"
20250814,1500,1268,1268,1,0,"0,6","35,29411765"
20250814,1501,24,25,"1,04166667",0,0,100
20250715,1502,1318,1535,"1,1646434",0,"1,75",50
20250814,1503,2446,2618,"1,07031889",0,"1,23","38,46153846"
20250814,1504,52,52,1,0,0,0
20250814,1505,749,776,"1,03604806",0,"0,23",75
20250814,1506,1833,1858,"1,01363884",0,"1,04","33,33333333"
20250814,1507,22,23,"1,04545455",0,0,0
20250814,1508,1207,1253,"1,03811102",0,"0,54","47,36842105"
