"FactConcurrentPK","concurrentFK","productFK","price_product","startDate","endDate","flag"
1,1,1,"-1","2026-03-23 15:56:34.813",NULL,"y"
2,1,2,"-1","2026-03-23 15:56:34.813",NULL,"y"
3,1,3,"60,000 TND","2026-03-23 15:56:34.813",NULL,"y"
4,1,4,"15,000 TND","2026-03-23 15:56:34.813",NULL,"y"
5,1,5,"40,000 TND","2026-03-23 15:56:34.813",NULL,"y"
6,1,6,"10,000 TND","2026-03-23 15:56:34.813",NULL,"y"
7,1,7,"255,000 TND","2026-03-23 15:56:34.813",NULL,"y"
8,1,8,"60,000 TND","2026-03-23 15:56:34.813",NULL,"y"
9,1,9,"47,000 TND","2026-03-23 15:56:34.813",NULL,"y"
10,1,10,"65,000 TND","2026-03-23 15:56:34.813",NULL,"y"
11,1,11,"120,000 TND","2026-03-23 15:56:34.813",NULL,"y"
12,1,12,"150,000 TND","2026-03-23 15:56:34.813",NULL,"y"
13,1,13,"120,000 TND","2026-03-23 15:56:34.813",NULL,"y"
14,1,14,"16,000 TND","2026-03-23 15:56:34.813",NULL,"y"
15,1,15,"105,000 TND","2026-03-23 15:56:34.813",NULL,"y"
16,1,16,"-1","2026-03-23 15:56:34.813",NULL,"y"
17,1,17,"58,000 TND","2026-03-23 15:56:34.813",NULL,"y"
18,1,18,"28,000 TND","2026-03-23 15:56:34.813",NULL,"y"
19,1,19,"90,000 TND","2026-03-23 15:56:34.813",NULL,"y"
20,1,20,"65,000 TND","2026-03-23 15:56:34.813",NULL,"y"
21,1,21,"170,000 TND","2026-03-23 15:56:34.813",NULL,"y"
22,1,22,"12,000 TND","2026-03-23 15:56:34.813",NULL,"y"
23,1,23,"14,000 TND","2026-03-23 15:56:34.813",NULL,"y"
24,1,24,"14,000 TND","2026-03-23 15:56:34.813",NULL,"y"
25,1,25,"12,000 TND","2026-03-23 15:56:34.813",NULL,"y"
26,1,26,"15,000 TND","2026-03-23 15:56:34.813",NULL,"y"
27,1,27,"180,000 TND","2026-03-23 15:56:34.813",NULL,"y"
28,1,28,"35,000 TND","2026-03-23 15:56:34.813",NULL,"y"
29,1,29,"3,000 TND","2026-03-23 15:56:34.813",NULL,"y"
30,1,30,"29,000 TND","2026-03-23 15:56:34.813",NULL,"y"
31,1,31,"38,000 TND","2026-03-23 15:56:34.813",NULL,"y"
32,1,32,"38,000 TND","2026-03-23 15:56:34.813",NULL,"y"
33,1,33,"365,000 TND","2026-03-23 15:56:34.813",NULL,"y"
34,1,34,"140,000 TND","2026-03-23 15:56:34.813",NULL,"y"
35,1,35,"45,000 TND","2026-03-23 15:56:34.813",NULL,"y"
36,1,36,"4,500 TND","2026-03-23 15:56:34.813",NULL,"y"
37,1,37,"175,000 TND","2026-03-23 15:56:34.813",NULL,"y"
38,1,38,"13,000 TND","2026-03-23 15:56:34.813",NULL,"y"
39,1,39,"40,000 TND","2026-03-23 15:56:34.813",NULL,"y"
40,1,40,"85,000 TND","2026-03-23 15:56:34.813",NULL,"y"
41,1,41,"45,000 TND","2026-03-23 15:56:34.813",NULL,"y"
42,1,42,"18,000 TND","2026-03-23 15:56:34.813",NULL,"y"
43,1,43,"30,000 TND","2026-03-23 15:56:34.813",NULL,"y"
44,1,44,"30,000 TND","2026-03-23 15:56:34.829",NULL,"y"
45,1,45,"6,000 TND","2026-03-23 15:56:34.829",NULL,"y"
46,1,46,"-1","2026-03-23 15:56:34.829",NULL,"y"
47,1,47,"-1","2026-03-23 15:56:34.829",NULL,"y"
48,1,48,"25,000 TND","2026-03-23 15:56:34.829",NULL,"y"
49,1,49,"290,000 TND","2026-03-23 15:56:34.829",NULL,"y"
50,1,50,"138,000 TND","2026-03-23 15:56:34.829",NULL,"y"
51,1,51,"38,000 TND","2026-03-23 15:56:34.829",NULL,"y"
52,1,52,"40,000 TND","2026-03-23 15:56:34.829",NULL,"y"
53,1,53,"8,000 TND","2026-03-23 15:56:34.829",NULL,"y"
54,1,54,"85,000 TND","2026-03-23 15:56:34.829",NULL,"y"
55,1,55,"-1","2026-03-23 15:56:34.829",NULL,"y"
56,1,56,"8,000 TND","2026-03-23 15:56:34.829",NULL,"y"
57,1,57,"135,000 TND","2026-03-23 15:56:34.829",NULL,"y"
58,1,58,"70,000 TND","2026-03-23 15:56:34.829",NULL,"y"
59,1,59,"-1","2026-03-23 15:56:34.829",NULL,"y"
60,1,60,"40,000 TND","2026-03-23 15:56:34.829",NULL,"y"
61,1,61,"60,000 TND","2026-03-23 15:56:34.829",NULL,"y"
62,1,62,"-1","2026-03-23 15:56:34.829",NULL,"y"
63,1,63,"-1","2026-03-23 15:56:34.829",NULL,"y"
64,1,64,"6,000 TND","2026-03-23 15:56:34.829",NULL,"y"
65,1,65,"25,000 TND","2026-03-23 15:56:34.829",NULL,"y"
66,1,66,"35,000 TND","2026-03-23 15:56:34.829",NULL,"y"
67,1,67,"100,000 TND","2026-03-23 15:56:34.829",NULL,"y"
68,1,68,"-1","2026-03-23 15:56:34.829",NULL,"y"
69,1,69,"12,000 TND","2026-03-23 15:56:34.829",NULL,"y"
70,1,70,"55,000 TND","2026-03-23 15:56:34.829",NULL,"y"
71,1,71,"13,900 TND","2026-03-23 15:56:34.829",NULL,"y"
72,1,72,"12,500 TND","2026-03-23 15:56:34.829",NULL,"y"
