"FactShippingPK","dateFK","productFK","customerFK","documentFK","quantity","productPrice","total","deliveryPrice","startDate","endDate","flag"
1,20250311,6485,1,37,"60.0","0","0","0","2026-03-24 20:20:42.15",NULL,"y"
2,20250317,6485,1,38,"26.0","0","0","0","2026-03-24 20:20:42.151",NULL,"y"
3,20250321,6485,1,39,"50.0","0","0","0","2026-03-24 20:20:42.151",NULL,"y"
4,20250326,6485,1,40,"40.0","0","0","0","2026-03-24 20:20:42.151",NULL,"y"
5,20250403,6485,1,41,"72.0","0","0","0","2026-03-24 20:20:42.151",NULL,"y"
6,20250403,6486,1,41,"3.0","0","0","0","2026-03-24 20:20:42.151",NULL,"y"
7,20250415,6485,1,42,"19.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
8,20250415,6486,1,42,"3.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
9,20250328,6485,2,43,"47.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
10,20250326,6485,3,44,"16.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
11,20250328,6485,4,45,"4.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
12,20250325,6485,5,46,"39.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
13,20250324,6485,6,47,"1.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
14,20250324,6485,7,48,"3.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
15,20250315,6485,8,49,"13.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
16,20250312,6485,9,50,"8.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
17,20250312,6485,10,51,"8.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
18,20250312,6485,11,52,"15.0","0","0","0","2026-03-24 20:20:42.157",NULL,"y"
19,20250328,6485,12,53,"29.0","0","0","0","2026-03-24 20:20:42.16",NULL,"y"
20,20250328,6485,13,54,"32.0","0","0","0","2026-03-24 20:20:42.16",NULL,"y"
21,20250328,6485,14,55,"36.0","0","0","0","2026-03-24 20:20:42.16",NULL,"y"
22,20250327,6485,15,56,"7.0","0","0","0","2026-03-24 20:20:42.16",NULL,"y"
23,20250324,6485,16,57,"24.0","0","0","0","2026-03-24 20:20:42.16",NULL,"y"
24,20250326,6485,17,58,"13.0","0","0","0","2026-03-24 20:20:42.16",NULL,"y"
25,20250403,6485,18,59,"3.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
26,20250403,6486,18,59,"5.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
27,20250315,6485,18,60,"38.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
28,20250324,6485,19,61,"23.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
29,20250314,6485,1,62,"97.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
30,20250315,6485,20,63,"13.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
31,20250402,6485,21,64,"7.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
32,20250402,6485,22,65,"3.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
33,20250402,6485,23,66,"4.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
34,20250402,6485,24,67,"4.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
35,20250402,6485,25,67,"7.0","0","0","0","2026-03-24 20:20:42.162",NULL,"y"
36,20250402,6485,26,67,"32.0","0","0","0","2026-03-24 20:20:42.164",NULL,"y"
37,20241210,6487,27,68,"432.0","0","0","0","2026-03-24 20:20:42.167",NULL,"y"
38,20251118,6488,28,65,"1500.0","0","0","0","2026-03-24 20:20:42.167",NULL,"y"
39,20251212,6489,29,67,"5.0","0","0","0","2026-03-24 20:20:42.167",NULL,"y"
40,20251212,6490,29,67,"5.0","0","0","0","2026-03-24 20:20:42.167",NULL,"y"
41,20251212,6491,29,67,"5.0","0","0","0","2026-03-24 20:20:42.169",NULL,"y"
42,20251212,6492,29,67,"5.0","0","0","0","2026-03-24 20:20:42.169",NULL,"y"
43,20251212,6493,29,67,"5.0","0","0","0","2026-03-24 20:20:42.169",NULL,"y"
44,20251215,6494,30,69,"450.0","0","0","0","2026-03-24 20:20:42.17",NULL,"y"
45,20251215,6495,30,69,"450.0","0","0","0","2026-03-24 20:20:42.17",NULL,"y"
46,20251215,6496,30,69,"450.0","0","0","0","2026-03-24 20:20:42.17",NULL,"y"
47,20251210,6497,31,66,"10.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
48,20251216,6498,30,70,"20.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
49,20251216,6499,30,70,"20.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
50,20250311,6485,1,37,"60.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
51,20250317,6485,1,38,"26.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
52,20250321,6485,1,39,"50.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
53,20250326,6485,1,40,"40.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
54,20250403,6485,1,41,"72.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
55,20250403,6486,1,41,"3.0","0","0","0","2026-03-24 20:20:42.171",NULL,"y"
56,20250415,6485,1,42,"19.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
57,20250415,6486,1,42,"3.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
58,20250328,6485,2,43,"47.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
59,20250326,6485,3,44,"16.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
60,20250328,6485,4,45,"4.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
61,20250325,6485,5,46,"39.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
62,20250324,6485,6,47,"1.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
63,20250324,6485,7,48,"3.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
64,20250315,6485,8,49,"13.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
65,20250312,6485,9,50,"8.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
66,20250312,6485,10,51,"8.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
67,20250312,6485,11,52,"15.0","0","0","0","2026-03-24 20:20:42.172",NULL,"y"
68,20250328,6485,12,53,"29.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
69,20250328,6485,13,54,"32.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
70,20250328,6485,14,55,"36.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
71,20250327,6485,15,56,"7.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
72,20250324,6485,16,57,"24.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
73,20250326,6485,17,58,"13.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
74,20250403,6485,18,59,"3.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
75,20250403,6486,18,59,"5.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
76,20250315,6485,18,60,"38.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
77,20250324,6485,19,61,"23.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
78,20250314,6485,1,62,"97.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
79,20250315,6485,20,63,"13.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
80,20250402,6485,21,64,"7.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
81,20250402,6485,22,65,"3.0","0","0","0","2026-03-24 20:20:42.174",NULL,"y"
82,20250402,6485,23,66,"4.0","0","0","0","2026-03-24 20:20:42.177",NULL,"y"
83,20250402,6485,24,67,"4.0","0","0","0","2026-03-24 20:20:42.177",NULL,"y"
84,20250402,6485,25,67,"7.0","0","0","0","2026-03-24 20:20:42.177",NULL,"y"
85,20250402,6485,26,67,"32.0","0","0","0","2026-03-24 20:20:42.177",NULL,"y"
86,20241210,6487,27,68,"432.0","0","0","0","2026-03-24 20:20:42.177",NULL,"y"
87,20251118,6488,28,65,"1500.0","0","0","0","2026-03-24 20:20:42.177",NULL,"y"
88,20251212,6489,29,67,"5.0","0","0","0","2026-03-24 20:20:42.177",NULL,"y"
89,20251212,6490,29,67,"5.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
90,20251212,6491,29,67,"5.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
91,20251212,6492,29,67,"5.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
92,20251212,6493,29,67,"5.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
93,20251215,6494,30,69,"450.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
94,20251215,6495,30,69,"450.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
95,20251215,6496,30,69,"450.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
96,20251210,6497,31,66,"10.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
97,20251216,6498,30,70,"20.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
98,20251216,6499,30,70,"20.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
99,20250311,6485,1,37,"60.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
100,20250317,6485,1,38,"26.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
101,20250321,6485,1,39,"50.0","0","0","0","2026-03-24 20:20:42.178",NULL,"y"
102,20250326,6485,1,40,"40.0","0","0","0","2026-03-24 20:20:42.18",NULL,"y"
103,20250403,6485,1,41,"72.0","0","0","0","2026-03-24 20:20:42.18",NULL,"y"
104,20250403,6486,1,41,"3.0","0","0","0","2026-03-24 20:20:42.18",NULL,"y"
105,20250415,6485,1,42,"19.0","0","0","0","2026-03-24 20:20:42.18",NULL,"y"
106,20250415,6486,1,42,"3.0","0","0","0","2026-03-24 20:20:42.18",NULL,"y"
107,20250328,6485,2,43,"47.0","0","0","0","2026-03-24 20:20:42.18",NULL,"y"
108,20250326,6485,3,44,"16.0","0","0","0","2026-03-24 20:20:42.181",NULL,"y"
109,20250328,6485,4,45,"4.0","0","0","0","2026-03-24 20:20:42.181",NULL,"y"
110,20250325,6485,5,46,"39.0","0","0","0","2026-03-24 20:20:42.181",NULL,"y"
111,20250324,6485,6,47,"1.0","0","0","0","2026-03-24 20:20:42.181",NULL,"y"
112,20250324,6485,7,48,"3.0","0","0","0","2026-03-24 20:20:42.181",NULL,"y"
113,20250315,6485,8,49,"13.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
114,20250312,6485,9,50,"8.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
115,20250312,6485,10,51,"8.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
116,20250312,6485,11,52,"15.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
117,20250328,6485,12,53,"29.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
118,20250328,6485,13,54,"32.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
119,20250328,6485,14,55,"36.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
120,20250327,6485,15,56,"7.0","0","0","0","2026-03-24 20:20:42.182",NULL,"y"
