category,nb_produits_conc,avg_price_conc,nb_produits_sougui,coverage_ratio,positionnement_couverture,avg_confidence,avg_cat_popularity,avg_occurrence_score,avg_conc_coverage,score_volume_concurrent,score_prix_concurrent,opportunity_score,niveau_opportunite
bijoux,488,92.91122950819673,539,1.1045081967213115,Equivalent,0.983545081967213,1.0,1.0,1.0,1.0,0.36276444443306544,0.8390456193049876,Fortement recommandee
habillement,351,134.41378917378916,995,2.8347578347578346,Fort,0.9809116809116809,0.7192622950819673,1.0,1.0,0.7192622950819673,0.5248078602756097,0.7248873954551525,Fortement recommandee
arts de la table,310,67.45709677419354,379,1.2225806451612904,Equivalent,0.9663548387096774,0.6352459016393442,1.0,1.0,0.6352459016393442,0.2633808245127032,0.6118659359007829,Fortement recommandee
rugs & kilim,130,236.3099076923077,131,1.0076923076923077,Equivalent,0.9006153846153846,0.26639344262295084,1.0,1.0,0.26639344262295084,0.9226530832902846,0.5672412027267326,Recommandee
handcrafted ceramics,262,31.49497709923664,262,1.0,Equivalent,0.9266793893129771,0.5368852459016393,1.0,1.0,0.5368852459016393,0.12296961228813305,0.5186972272492326,Recommandee
accessories,154,101.48167532467532,369,2.396103896103896,Fort,0.7937662337662338,0.3155737704918033,1.0,1.0,0.3155737704918033,0.39622706280132486,0.45199896284744645,Recommandee
luminaires,8,256.12,8,1.0,Equivalent,0.88375,0.01639344262295082,1.0,1.0,0.01639344262295082,1.0,0.4473913934426229,Recommandee
cosmetiques et soins,193,24.965803108808288,659,3.4145077720207255,Fort,0.9632124352331607,0.39549180327868855,1.0,1.0,0.39549180327868855,0.09747697606125366,0.4382109793419082,Recommandee
homeware,78,168.30123076923078,791,10.14102564102564,Fort,0.7733333333333333,0.1598360655737705,1.0,1.0,0.1598360655737705,0.6571186583212196,0.429522833979212,Recommandee
olive wood,152,40.29213157894736,152,1.0,Equivalent,0.9457894736842105,0.3114754098360656,1.0,1.0,0.3114754098360656,0.15731739645067688,0.4052197718909264,Recommandee
social projects,47,143.25702127659574,47,1.0,Equivalent,0.6753191489361702,0.09631147540983605,1.0,1.0,0.09631147540983606,0.5593355508222542,0.36033711407459046,A surveiller
rangements,12,172.83333333333334,12,1.0,Equivalent,0.7583333333333333,0.02459016393442623,1.0,1.0,0.02459016393442623,0.6748138893227134,0.35806139582794605,A surveiller
coffrets cadeaux,11,131.13636363636363,11,1.0,Equivalent,0.7172727272727273,0.022540983606557378,1.0,1.0,0.022540983606557378,0.5120114151037155,0.3121276674868082,A surveiller
fouta towel & blankets,46,66.55308695652174,46,1.0,Equivalent,0.8456521739130435,0.09426229508196719,1.0,1.0,0.0942622950819672,0.2598511906782826,0.30137227735595695,A surveiller
la touche déco,12,82.33333333333333,12,1.0,Equivalent,0.7324999999999999,0.02459016393442623,1.0,1.0,0.02459016393442623,0.3214638971315529,0.26714056444682266,A surveiller
linge de maison,5,93.6,5,1.0,Equivalent,0.64,0.010245901639344262,1.0,1.0,0.010245901639344262,0.36545369358113383,0.26099866929692284,A surveiller
nouveautés,6,75.0,6,1.0,Equivalent,0.8033333333333333,0.012295081967213115,1.0,1.0,0.012295081967213115,0.29283148524129315,0.26030349972562383,A surveiller
