product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,cat_score,feat_price_attractiveness,product_score,niveau_recommandation
a-collier émaillage,bijoux,95.0,1,1,488,92.91122950819673,1,1.0,0.022481356455816184,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9780129424229872,0.9506143329126456,Priorite haute
a-collier agate fartattou,bijoux,95.0,1,1,488,92.91122950819673,1,1.0,0.022481356455816184,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9780129424229872,0.9506143329126456,Priorite haute
a-collier poisson ambre,bijoux,95.0,1,1,488,92.91122950819673,1,1.0,0.022481356455816184,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9780129424229872,0.9506143329126456,Priorite haute
a-collier atika turquoise,bijoux,90.0,1,1,488,92.91122950819673,1,1.0,0.0313334512122288,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9696185058523997,0.9501946110841162,Priorite haute
a-bracelet argent 925,bijoux,90.0,1,1,488,92.91122950819673,1,1.0,0.0313334512122288,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9696185058523997,0.9501946110841162,Priorite haute
a-bracelet argent,bijoux,90.0,1,1,488,92.91122950819673,1,1.0,0.0313334512122288,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9696185058523997,0.9501946110841162,Priorite haute
a-collier soie et agate,bijoux,90.0,1,1,488,92.91122950819673,1,1.0,0.0313334512122288,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9696185058523997,0.9501946110841162,Priorite haute
a-collier argent agate,bijoux,100.0,1,1,488,92.91122950819673,1,1.0,0.07629616412386117,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9291122957908444,0.9481693005810384,Priorite haute
a-collier translucide,bijoux,100.0,1,1,488,92.91122950819673,1,1.0,0.07629616412386117,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9291122957908444,0.9481693005810384,Priorite haute
a-collier tribal,bijoux,100.0,1,1,488,92.91122950819673,1,1.0,0.07629616412386117,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.9291122957908444,0.9481693005810384,Priorite haute
a-boucles d'oreille ceramique,bijoux,95.0,1,1,488,92.91122950819673,1,1.0,0.022481356455816184,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.9780129424229872,0.9481143329126457,Priorite haute
a-boucles ciselées,bijoux,95.0,1,1,488,92.91122950819673,1,1.0,0.022481356455816184,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.9780129424229872,0.9481143329126457,Priorite haute
a-pendentif khomsa,bijoux,95.0,1,1,488,92.91122950819673,1,1.0,0.022481356455816184,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.9780129424229872,0.9481143329126457,Priorite haute
a-pendentif rectangulaire,bijoux,90.0,1,1,488,92.91122950819673,1,1.0,0.0313334512122288,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.9696185058523997,0.9476946110841162,Priorite haute
a-bracelet calligraphié,bijoux,90.0,1,1,488,92.91122950819673,1,1.0,0.0313334512122288,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.9696185058523997,0.9476946110841162,Priorite haute
a-grand bracelet manchette,bijoux,100.0,1,1,488,92.91122950819673,1,1.0,0.07629616412386117,1.0,1.0,bijoux,0.99,True,0.8390456193049876,0.9291122957908444,0.9456693005810385,Priorite haute
a-couronne calligraphiée,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-lunettes rooya,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-bracelet khlel,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-bracelet serpent,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-parure ambre,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-bague en argent,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-parure quartz rouille,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-boucles nâcre,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
a-boucles glam,bijoux,80.0,1,1,488,92.91122950819673,1,1.0,0.13896306654831878,1.0,1.0,bijoux,1.0,True,0.8390456193049876,0.8779915954874175,0.9456132655658671,Priorite haute
