product,category,avg_price,nb_concurrents,confidence_score,product_score,feat_cat_popularity,feat_concurrent_coverage,niveau_recommandation,cat_score
a-collier émaillage,bijoux,95.0,1,1.0,0.9506143329126456,1.0,1.0,Priorite haute,0.8390456193049876
a-collier agate fartattou,bijoux,95.0,1,1.0,0.9506143329126456,1.0,1.0,Priorite haute,0.8390456193049876
a-collier poisson ambre,bijoux,95.0,1,1.0,0.9506143329126456,1.0,1.0,Priorite haute,0.8390456193049876
a-collier atika turquoise,bijoux,90.0,1,1.0,0.9501946110841162,1.0,1.0,Priorite haute,0.8390456193049876
a-bracelet argent 925,bijoux,90.0,1,1.0,0.9501946110841162,1.0,1.0,Priorite haute,0.8390456193049876
a-bracelet argent,bijoux,90.0,1,1.0,0.9501946110841162,1.0,1.0,Priorite haute,0.8390456193049876
a-collier soie et agate,bijoux,90.0,1,1.0,0.9501946110841162,1.0,1.0,Priorite haute,0.8390456193049876
a-collier argent agate,bijoux,100.0,1,1.0,0.9481693005810384,1.0,1.0,Priorite haute,0.8390456193049876
a-collier translucide,bijoux,100.0,1,1.0,0.9481693005810384,1.0,1.0,Priorite haute,0.8390456193049876
a-collier tribal,bijoux,100.0,1,1.0,0.9481693005810384,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles d'oreille ceramique,bijoux,95.0,1,0.99,0.9481143329126457,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles ciselées,bijoux,95.0,1,0.99,0.9481143329126457,1.0,1.0,Priorite haute,0.8390456193049876
a-pendentif khomsa,bijoux,95.0,1,0.99,0.9481143329126457,1.0,1.0,Priorite haute,0.8390456193049876
a-pendentif rectangulaire,bijoux,90.0,1,0.99,0.9476946110841162,1.0,1.0,Priorite haute,0.8390456193049876
a-bracelet calligraphié,bijoux,90.0,1,0.99,0.9476946110841162,1.0,1.0,Priorite haute,0.8390456193049876
a-grand bracelet manchette,bijoux,100.0,1,0.99,0.9456693005810385,1.0,1.0,Priorite haute,0.8390456193049876
a-couronne calligraphiée,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-lunettes rooya,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-bracelet khlel,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-bracelet serpent,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-parure ambre,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-bague en argent,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-parure quartz rouille,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles nâcre,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
a-boucles glam,bijoux,80.0,1,1.0,0.9456132655658671,1.0,1.0,Priorite haute,0.8390456193049876
