productPK,product,productCode,categoryFK,startDate,endDate,flag
1,Unknown,Unknown,525,2026-04-21 19:46:07.880,,y
5256,Vide poche carré,Vide_poche_carré,525,2026-04-21 19:46:08.017,,y
5257,Fouta,Fouta,525,2026-04-21 19:46:08.017,,y
5258,Carafe Champagne,Carafe_Champagne,525,2026-04-21 19:46:08.017,,y
2,Vide Poche en verre sur pied en cuivre martelé,VP,525,2026-04-21 19:46:07.885,,y
3,Bonbonnière,BON,525,2026-04-21 19:46:07.885,,y
5259,Verre GF,Verre_GF,525,2026-04-21 19:46:08.017,,y
4,Présentoir en verre sur pied en cuivre martelé,PR,525,2026-04-21 19:46:07.886,,y
5260,Mouton T1,Mouton_T1,525,2026-04-21 19:46:08.017,,y
5261,Mouton T2,Mouton_T2,525,2026-04-21 19:46:08.017,,y
5,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.886,,y
5262,Vase Samak,Vase_Samak,525,2026-04-21 19:46:08.017,,y
6,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.886,,y
7,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.886,,y
8,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.886,,y
9,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.886,,y
10,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.886,,y
11,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.890,,y
12,Bonbonnière en verre,BV-001,525,2026-04-21 19:46:07.891,,y
13,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.891,,y
14,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.892,,y
15,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.892,,y
16,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.892,,y
17,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.893,,y
18,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.893,,y
19,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.893,,y
20,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.893,,y
21,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.893,,y
22,Bonbonnière en verre + couvercle en cuivre,BVC-001,525,2026-04-21 19:46:07.893,,y
