FactShippingPK,dateFK,productFK,customerFK,documentFK,quantity,productPrice,total,deliveryPrice,startDate,endDate,flag
1,20250311,2441,2646,2467,60.0,0,0,0,2026-04-21 19:46:18.638,,y
2,20250317,2441,2646,2468,26.0,0,0,0,2026-04-21 19:46:18.645,,y
3,20250321,2441,2646,2469,50.0,0,0,0,2026-04-21 19:46:18.645,,y
4,20250326,2441,2646,2470,40.0,0,0,0,2026-04-21 19:46:18.645,,y
5,20250403,2441,2646,2472,72.0,0,0,0,2026-04-21 19:46:18.645,,y
6,20250403,2431,2646,2472,3.0,0,0,0,2026-04-21 19:46:18.645,,y
7,20250415,2441,2646,2474,19.0,0,0,0,2026-04-21 19:46:18.646,,y
8,20250415,2431,2646,2474,3.0,0,0,0,2026-04-21 19:46:18.646,,y
9,20250328,2441,2410,2475,47.0,0,0,0,2026-04-21 19:46:18.646,,y
10,20250326,2441,2411,2476,16.0,0,0,0,2026-04-21 19:46:18.646,,y
11,20250328,2441,2412,2477,4.0,0,0,0,2026-04-21 19:46:18.646,,y
12,20250325,2441,2413,2478,39.0,0,0,0,2026-04-21 19:46:18.646,,y
13,20250324,2441,2414,2479,1.0,0,0,0,2026-04-21 19:46:18.646,,y
14,20250324,2441,2415,2480,3.0,0,0,0,2026-04-21 19:46:18.647,,y
15,20250315,2441,2416,2481,13.0,0,0,0,2026-04-21 19:46:18.647,,y
16,20250312,2441,2417,2482,8.0,0,0,0,2026-04-21 19:46:18.647,,y
17,20250312,2441,2418,2483,8.0,0,0,0,2026-04-21 19:46:18.647,,y
18,20250312,2441,2419,2484,15.0,0,0,0,2026-04-21 19:46:18.647,,y
19,20250328,2441,2420,2485,29.0,0,0,0,2026-04-21 19:46:18.648,,y
20,20250328,2441,2421,2486,32.0,0,0,0,2026-04-21 19:46:18.648,,y
21,20250328,2441,2422,2487,36.0,0,0,0,2026-04-21 19:46:18.648,,y
22,20250327,2441,2423,2488,7.0,0,0,0,2026-04-21 19:46:18.649,,y
23,20250324,2441,2424,2489,24.0,0,0,0,2026-04-21 19:46:18.649,,y
24,20250326,2441,2425,2490,13.0,0,0,0,2026-04-21 19:46:18.649,,y
25,20250403,2441,2428,2492,3.0,0,0,0,2026-04-21 19:46:18.649,,y
26,20250403,2431,2428,2492,5.0,0,0,0,2026-04-21 19:46:18.650,,y
27,20250315,2441,2428,2493,38.0,0,0,0,2026-04-21 19:46:18.650,,y
28,20250324,2441,2429,2494,23.0,0,0,0,2026-04-21 19:46:18.650,,y
29,20250314,2441,2646,2495,97.0,0,0,0,2026-04-21 19:46:18.651,,y
30,20250315,2441,2431,2496,13.0,0,0,0,2026-04-21 19:46:18.651,,y
31,20250402,2441,2432,2497,7.0,0,0,0,2026-04-21 19:46:18.651,,y
32,20250402,2441,2433,2504,3.0,0,0,0,2026-04-21 19:46:18.652,,y
33,20250402,2441,2434,2513,4.0,0,0,0,2026-04-21 19:46:18.652,,y
34,20250402,2441,2435,2509,4.0,0,0,0,2026-04-21 19:46:18.652,,y
35,20250402,2441,2436,2509,7.0,0,0,0,2026-04-21 19:46:18.652,,y
36,20250402,2441,2437,2509,32.0,0,0,0,2026-04-21 19:46:18.652,,y
37,20241210,2625,2685,2503,432.0,0,0,0,2026-04-21 19:46:18.652,,y
38,20251118,2443,2696,2504,1500.0,0,0,0,2026-04-21 19:46:18.652,,y
39,20251212,2586,2698,2509,5.0,0,0,0,2026-04-21 19:46:18.653,,y
40,20251212,2587,2698,2509,5.0,0,0,0,2026-04-21 19:46:18.653,,y
41,20251212,2588,2698,2509,5.0,0,0,0,2026-04-21 19:46:18.653,,y
42,20251212,2589,2698,2509,5.0,0,0,0,2026-04-21 19:46:18.653,,y
43,20251212,2590,2698,2509,5.0,0,0,0,2026-04-21 19:46:18.653,,y
44,20251215,2621,244,2512,450.0,0,0,0,2026-04-21 19:46:18.654,,y
45,20251215,2622,244,2512,450.0,0,0,0,2026-04-21 19:46:18.654,,y
46,20251215,2623,244,2512,450.0,0,0,0,2026-04-21 19:46:18.654,,y
47,20251210,2613,2700,2513,10.0,0,0,0,2026-04-21 19:46:18.655,,y
48,20251216,2531,244,2515,20.0,0,0,0,2026-04-21 19:46:18.656,,y
49,20251216,2532,244,2515,20.0,0,0,0,2026-04-21 19:46:18.656,,y
50,20250311,2441,2646,2467,60.0,0,0,0,2026-04-21 19:46:18.656,,y
51,20250317,2441,2646,2468,26.0,0,0,0,2026-04-21 19:46:18.656,,y
52,20250321,2441,2646,2469,50.0,0,0,0,2026-04-21 19:46:18.656,,y
53,20250326,2441,2646,2470,40.0,0,0,0,2026-04-21 19:46:18.657,,y
54,20250403,2441,2646,2472,72.0,0,0,0,2026-04-21 19:46:18.657,,y
55,20250403,2431,2646,2472,3.0,0,0,0,2026-04-21 19:46:18.657,,y
56,20250415,2441,2646,2474,19.0,0,0,0,2026-04-21 19:46:18.657,,y
57,20250415,2431,2646,2474,3.0,0,0,0,2026-04-21 19:46:18.657,,y
58,20250328,2441,2410,2475,47.0,0,0,0,2026-04-21 19:46:18.657,,y
59,20250326,2441,2411,2476,16.0,0,0,0,2026-04-21 19:46:18.657,,y
60,20250328,2441,2412,2477,4.0,0,0,0,2026-04-21 19:46:18.658,,y
61,20250325,2441,2413,2478,39.0,0,0,0,2026-04-21 19:46:18.658,,y
62,20250324,2441,2414,2479,1.0,0,0,0,2026-04-21 19:46:18.658,,y
63,20250324,2441,2415,2480,3.0,0,0,0,2026-04-21 19:46:18.658,,y
64,20250315,2441,2416,2481,13.0,0,0,0,2026-04-21 19:46:18.658,,y
