FactVentePK,dateFK,documentFK,channelFK,customerFK,productFK,price,quantity,remise,total_ht,tva,timbre,total_ttc,startDate,endDate,flag
1,20260102,4601,4,3461,4685,50,2,0,100,0,0,100,2026-04-21 19:46:19.489,,y
2,20251230,4602,4,3462,4667,90,1,0,90,0,0,90,2026-04-21 19:46:19.493,,y
3,20251229,4603,4,3463,4517,65,1,0,153,0,0,153,2026-04-21 19:46:19.493,,y
4,20251229,4603,4,3463,4512,58,1,0,153,0,0,153,2026-04-21 19:46:19.493,,y
5,20251229,4603,4,3463,4608,30,1,0,153,0,0,153,2026-04-21 19:46:19.493,,y
6,20251229,4604,4,3464,4626,90,1,0,90,0,0,90,2026-04-21 19:46:19.493,,y
7,20251229,4605,4,3465,4626,90,1,0,90,0,0,90,2026-04-21 19:46:19.493,,y
8,20251229,4606,4,3466,4685,50,2,0,100,0,0,100,2026-04-21 19:46:19.494,,y
9,20251229,4607,4,3467,4757,30,1,0,105,0,0,105,2026-04-21 19:46:19.494,,y
10,20251229,4607,4,3467,4773,25,1,0,105,0,0,105,2026-04-21 19:46:19.494,,y
11,20251229,4607,4,3467,4775,25,1,0,105,0,0,105,2026-04-21 19:46:19.494,,y
12,20251229,4607,4,3467,4774,25,1,0,105,0,0,105,2026-04-21 19:46:19.494,,y
13,20251228,4608,4,3468,4686,50,1,0,75,0,0,75,2026-04-21 19:46:19.494,,y
14,20251228,4608,4,3468,4776,25,1,0,75,0,0,75,2026-04-21 19:46:19.494,,y
15,20251228,4609,4,3469,4512,58,1,0,58,0,0,58,2026-04-21 19:46:19.495,,y
16,20251228,4610,4,3470,4655,184,1,0,184,0,0,184,2026-04-21 19:46:19.495,,y
17,20251227,4611,4,3471,4685,50,1,0,98,0,0,98,2026-04-21 19:46:19.495,,y
18,20251227,4611,4,3471,4515,48,1,0,98,0,0,98,2026-04-21 19:46:19.495,,y
19,20251227,4612,4,3472,4517,65,1,0,65,0,0,65,2026-04-21 19:46:19.495,,y
20,20251227,4613,4,3674,4511,30,1,0,30,0,0,30,2026-04-21 19:46:19.495,,y
21,20251227,4614,4,3474,4626,90,1,0,124,0,0,124,2026-04-21 19:46:19.495,,y
22,20251227,4614,4,3474,3000,34,1,0,124,0,0,124,2026-04-21 19:46:19.495,,y
23,20251226,4615,4,3475,4626,90,1,0,90,0,0,90,2026-04-21 19:46:19.496,,y
24,20251226,4616,4,3476,4745,20,5,0,100,0,0,100,2026-04-21 19:46:19.496,,y
25,20251226,4617,4,3477,4608,30,4,0,120,0,0,120,2026-04-21 19:46:19.496,,y
26,20251226,4618,4,3478,4685,50,1,0,99.9,0,0,99.9,2026-04-21 19:46:19.496,,y
27,20251226,4618,4,3478,4553,49.9,1,0,99.9,0,0,99.9,2026-04-21 19:46:19.496,,y
28,20251225,4619,4,3480,4626,90,1,0,90,0,0,90,2026-04-21 19:46:19.496,,y
29,20251225,4620,4,3480,4626,90,1,0,90,0,0,90,2026-04-21 19:46:19.497,,y
30,20251225,4621,4,3481,4626,90,1,0,90,0,0,90,2026-04-21 19:46:19.497,,y
31,20251225,4622,4,3482,4666,90,1,0,90,0,0,90,2026-04-21 19:46:19.497,,y
32,20251224,4623,4,3483,4787,20,1,0,75,0,0,75,2026-04-21 19:46:19.497,,y
33,20251224,4623,4,3483,4720,30,1,0,75,0,0,75,2026-04-21 19:46:19.497,,y
34,20251224,4623,4,3483,4773,25,1,0,75,0,0,75,2026-04-21 19:46:19.497,,y
35,20251224,4624,4,3484,4926,90,1,0,90,0,0,90,2026-04-21 19:46:19.497,,y
36,20251224,4625,4,3485,4926,90,1,0,90,0,0,90,2026-04-21 19:46:19.498,,y
37,20251224,4626,4,3486,4926,90,1,0,90,0,0,90,2026-04-21 19:46:19.498,,y
38,20251224,4627,4,3487,4926,90,1,0,90,0,0,90,2026-04-21 19:46:19.498,,y
39,20251224,4628,4,3488,4613,80,1,0,105,0,0,105,2026-04-21 19:46:19.498,,y
40,20251224,4628,4,3488,4766,25,1,0,105,0,0,105,2026-04-21 19:46:19.498,,y
41,20251224,4629,4,3489,4557,100,1,0,150,0,0,150,2026-04-21 19:46:19.498,,y
42,20251224,4629,4,3489,4686,50,1,0,150,0,0,150,2026-04-21 19:46:19.499,,y
43,20251224,4630,4,3490,4775,25,1,0,100,0,0,100,2026-04-21 19:46:19.499,,y
44,20251224,4630,4,3490,4774,25,1,0,100,0,0,100,2026-04-21 19:46:19.499,,y
45,20251224,4630,4,3490,4722,30,1,0,100,0,0,100,2026-04-21 19:46:19.499,,y
46,20251224,4630,4,3490,2975,20,1,0,100,0,0,100,2026-04-21 19:46:19.499,,y
47,20251224,4631,4,3491,4773,25,4,0,100,0,0,100,2026-04-21 19:46:19.499,,y
48,20251224,4632,4,3492,4745,20,1,0,89.9,0,0,89.9,2026-04-21 19:46:19.499,,y
49,20251224,4632,4,3492,4553,49.9,1,0,89.9,0,0,89.9,2026-04-21 19:46:19.500,,y
50,20251224,4632,4,3492,3310,20,1,0,89.9,0,0,89.9,2026-04-21 19:46:19.500,,y
51,20251224,4633,4,3493,4512,58,1,0,58,0,0,58,2026-04-21 19:46:19.500,,y
52,20251224,4634,4,3494,3310,20,1,0,89.9,0,0,89.9,2026-04-21 19:46:19.500,,y
53,20251224,4634,4,3494,4746,20,1,0,89.9,0,0,89.9,2026-04-21 19:46:19.500,,y
54,20251224,4634,4,3494,4553,49.9,1,0,89.9,0,0,89.9,2026-04-21 19:46:19.501,,y
55,20251224,4635,4,3495,4677,150,1,0,150,0,0,150,2026-04-21 19:46:19.501,,y
56,20251223,4636,4,3496,4516,45,1,0,123,0,0,123,2026-04-21 19:46:19.501,,y
57,20251223,4636,4,3496,4515,48,1,0,123,0,0,123,2026-04-21 19:46:19.501,,y
58,20251223,4636,4,3496,4511,30,1,0,123,0,0,123,2026-04-21 19:46:19.501,,y
59,20251222,4637,4,3498,4608,30,1,0,79.9,0,0,79.9,2026-04-21 19:46:19.501,,y
60,20251222,4637,4,3498,4553,49.9,1,0,79.9,0,0,79.9,2026-04-21 19:46:19.502,,y
61,20251222,4638,4,3498,4608,30,1,0,79.9,0,0,79.9,2026-04-21 19:46:19.502,,y
62,20251222,4638,4,3498,4553,49.9,1,0,79.9,0,0,79.9,2026-04-21 19:46:19.502,,y
63,20251222,4639,4,3499,4926,90,1,0,90,0,0,90,2026-04-21 19:46:19.502,,y
64,20251219,4640,4,3500,4926,90,1,0,90,0,0,90,2026-04-21 19:46:19.502,,y
65,20251218,4641,4,3501,4626,90,1,0,90,0,0,90,2026-04-21 19:46:19.502,,y
66,20251217,4642,4,3502,4515,48,1,0,93,0,0,93,2026-04-21 19:46:19.503,,y
67,20251217,4642,4,3502,4516,45,1,0,93,0,0,93,2026-04-21 19:46:19.503,,y
68,20251217,4643,4,3503,4553,49.9,2,0,99.8,0,0,99.8,2026-04-21 19:46:19.503,,y
69,20251217,4644,4,3504,4684,50,1,0,106,0,0,106,2026-04-21 19:46:19.503,,y
70,20251217,4644,4,3504,4782,56,1,0,106,0,0,106,2026-04-21 19:46:19.503,,y
71,20251215,4645,4,3505,4579,90,1,0,90,0,0,90,2026-04-21 19:46:19.503,,y
72,20251214,4646,4,3506,4926,90,1,0,90,0,0,90,2026-04-21 19:46:19.503,,y
73,20251214,4647,4,3507,4608,30,2,0,90,0,0,90,2026-04-21 19:46:19.504,,y
74,20251214,4647,4,3507,4757,30,1,0,90,0,0,90,2026-04-21 19:46:19.504,,y
75,20251213,4648,4,3508,4773,25,1,0,100,0,0,100,2026-04-21 19:46:19.504,,y
76,20251213,4648,4,3508,4776,25,1,0,100,0,0,100,2026-04-21 19:46:19.504,,y
77,20251213,4648,4,3508,4774,25,1,0,100,0,0,100,2026-04-21 19:46:19.504,,y
