customerFK,recency,frequency,monetary_total,churn_probability,segment_name
3920,317,3,339.0,1.0,Regular Buyers
3919,277,2,100.0,1.0,Lost Customers
3917,277,2,100.0,1.0,Lost Customers
3901,758,2,38.0,1.0,Lost Customers
3884,493,2,60.0,1.0,Lost Customers
3883,493,2,110.0,1.0,Lost Customers
3881,463,2,96.0,1.0,Lost Customers
3880,457,3,330.0,1.0,Regular Buyers
3879,421,2,140.0,1.0,Lost Customers
3877,405,2,60.0,1.0,Lost Customers
3876,403,2,140.0,1.0,Lost Customers
3875,388,2,56.0,1.0,Lost Customers
3874,375,2,60.0,1.0,Lost Customers
3873,374,3,312.0,1.0,Regular Buyers
3872,374,2,120.0,1.0,Lost Customers
3871,373,2,60.0,1.0,Lost Customers
3870,371,2,60.0,1.0,Lost Customers
3869,364,2,116.0,1.0,Lost Customers
3867,356,2,96.0,1.0,Lost Customers
3624,134,2,200.0,1.0,Active Loyal
3618,130,2,200.0,1.0,Active Loyal
3610,124,2,200.0,1.0,Active Loyal
3641,142,4,400.0,1.0,High-Value Buyers
3640,142,3,285.0,1.0,Regular Buyers
3637,137,3,224.70000000000002,1.0,Regular Buyers
3636,137,4,416.0,1.0,High-Value Buyers
3635,137,3,315.0,1.0,Regular Buyers
3631,135,2,200.0,1.0,Active Loyal
3630,135,2,200.0,1.0,Active Loyal
3627,135,3,300.0,1.0,Regular Buyers
3625,134,2,200.0,1.0,Active Loyal
3866,353,2,60.0,1.0,Lost Customers
3865,353,2,60.0,1.0,Lost Customers
3864,349,2,92.0,1.0,Lost Customers
3862,347,2,180.0,1.0,Lost Customers
3861,288,5,454.70000000000005,1.0,High-Value Buyers
3860,343,2,180.0,1.0,Lost Customers
3858,339,3,237.0,1.0,Regular Buyers
3857,338,3,270.0,1.0,Regular Buyers
3856,338,3,270.0,1.0,Regular Buyers
3855,333,4,396.0,1.0,High-Value Buyers
3854,332,2,60.0,1.0,Lost Customers
3852,330,3,315.0,1.0,Regular Buyers
3851,330,3,285.0,1.0,Regular Buyers
3850,328,4,396.0,1.0,High-Value Buyers
3660,151,3,234.0,1.0,Regular Buyers
3659,151,2,168.0,1.0,Active Loyal
3656,151,4,396.0,1.0,High-Value Buyers
3655,150,3,270.0,1.0,Regular Buyers
3653,150,3,284.70000000000005,1.0,Regular Buyers
3651,149,4,396.0,1.0,High-Value Buyers
3650,149,2,184.0,1.0,Active Loyal
3649,148,2,99.8,1.0,Active Loyal
3648,146,2,184.0,1.0,Active Loyal
3645,144,3,225.0,1.0,Regular Buyers
3644,144,2,200.0,1.0,Active Loyal
3642,143,3,330.0,1.0,Regular Buyers
3677,176,4,380.0,1.0,High-Value Buyers
3676,174,2,172.0,1.0,Active Loyal
3675,172,2,200.0,1.0,Active Loyal
3673,171,2,130.0,1.0,Active Loyal
3672,171,2,180.0,1.0,Active Loyal
3671,171,2,168.0,1.0,Active Loyal
3670,169,3,279.0,1.0,Regular Buyers
3669,168,2,172.0,1.0,Active Loyal
3668,168,3,402.0,1.0,Regular Buyers
3667,165,3,300.0,1.0,Regular Buyers
3666,165,3,309.0,1.0,Regular Buyers
3665,158,3,273.0,1.0,Regular Buyers
3664,154,2,200.0,1.0,Active Loyal
3663,153,3,345.0,1.0,Regular Buyers
3662,152,3,284.70000000000005,1.0,Regular Buyers
3661,151,3,402.0,1.0,Regular Buyers
3695,198,3,315.0,1.0,Regular Buyers
3692,196,3,300.0,1.0,Regular Buyers
3690,191,2,100.0,1.0,Active Loyal
3689,191,3,300.0,1.0,Regular Buyers
3687,185,3,285.0,1.0,Regular Buyers
3685,185,3,285.0,1.0,Regular Buyers
3684,184,4,395.6,1.0,High-Value Buyers
3683,182,2,180.0,1.0,Active Loyal
3681,179,3,342.0,1.0,Regular Buyers
3680,178,2,60.0,1.0,Active Loyal
3679,178,3,285.0,1.0,Regular Buyers
3678,178,2,60.0,1.0,Active Loyal
3712,213,2,184.0,1.0,Lost Customers
3711,211,2,180.0,1.0,Active Loyal
3709,209,2,200.0,1.0,Lost Customers
3708,207,3,300.0,1.0,Regular Buyers
3707,205,2,60.0,1.0,Active Loyal
3706,205,2,180.0,1.0,Active Loyal
3705,205,2,172.0,1.0,Active Loyal
3704,204,4,416.0,1.0,High-Value Buyers
3702,204,2,204.0,1.0,Lost Customers
3701,204,5,475.0,1.0,High-Value Buyers
3700,204,2,172.0,1.0,Active Loyal
3699,145,5,230.0,1.0,Regular Buyers
3698,204,2,180.0,1.0,Active Loyal
3697,203,2,100.0,1.0,Active Loyal
3696,200,2,200.0,1.0,Lost Customers
3849,326,3,327.0,1.0,Regular Buyers
3848,326,2,180.0,1.0,Lost Customers
3847,325,2,200.0,1.0,Lost Customers
3846,325,2,50.0,1.0,Lost Customers
3845,324,2,100.0,1.0,Lost Customers
3844,324,4,380.0,1.0,High-Value Buyers
3843,324,3,300.0,1.0,Regular Buyers
3842,324,2,100.0,1.0,Lost Customers
3841,324,4,600.0,1.0,High-Value Buyers
3840,324,2,50.0,1.0,Lost Customers
3838,323,2,50.0,1.0,Lost Customers
3837,323,2,120.0,1.0,Lost Customers
3836,323,2,50.0,1.0,Lost Customers
3835,323,2,50.0,1.0,Lost Customers
3834,323,3,319.5,1.0,Regular Buyers
3734,231,2,100.0,1.0,Lost Customers
3733,230,4,380.0,1.0,High-Value Buyers
3732,229,2,180.0,1.0,Lost Customers
3726,226,4,380.0,1.0,High-Value Buyers
3723,224,2,50.0,1.0,Lost Customers
3722,224,2,50.0,1.0,Lost Customers
3721,222,2,180.0,1.0,Lost Customers
3720,221,3,300.0,1.0,Regular Buyers
3719,221,3,345.0,1.0,Regular Buyers
3718,219,3,180.0,1.0,Regular Buyers
3716,217,2,184.0,1.0,Lost Customers
3714,217,2,99.8,1.0,Active Loyal
3713,214,2,60.0,1.0,Active Loyal
3750,242,4,460.0,1.0,High-Value Buyers
3749,242,4,436.0,1.0,High-Value Buyers
3748,241,3,345.0,1.0,Regular Buyers
3747,241,4,440.0,1.0,High-Value Buyers
3746,239,2,184.0,1.0,Lost Customers
3745,238,2,100.0,1.0,Lost Customers
3744,238,2,200.0,1.0,Lost Customers
3743,238,3,285.0,1.0,Regular Buyers
3742,237,2,90.0,1.0,Lost Customers
3741,218,4,149.8,1.0,Regular Buyers
3740,235,3,224.70000000000002,1.0,Regular Buyers
3739,234,2,180.0,1.0,Lost Customers
3738,233,2,258.0,1.0,Lost Customers
3735,231,2,100.0,1.0,Lost Customers
3766,262,2,130.0,1.0,Lost Customers
3765,261,4,364.0,1.0,High-Value Buyers
3764,261,2,308.0,1.0,Regular Buyers
3763,260,3,285.0,1.0,Regular Buyers
3762,260,2,172.0,1.0,Lost Customers
3760,255,2,320.0,1.0,Regular Buyers
3759,255,2,200.0,1.0,Lost Customers
3758,254,2,184.0,1.0,Lost Customers
3756,253,3,180.0,1.0,Regular Buyers
3755,253,2,180.0,1.0,Lost Customers
3754,253,3,270.0,1.0,Regular Buyers
3753,251,3,300.0,1.0,Regular Buyers
3752,247,2,300.0,1.0,Regular Buyers
3751,244,3,299.70000000000005,1.0,Regular Buyers
3796,306,2,344.0,1.0,Lost Customers
3795,306,2,180.0,1.0,Lost Customers
3793,302,2,184.0,1.0,Lost Customers
3790,301,3,450.0,1.0,Regular Buyers
3787,290,4,420.0,1.0,High-Value Buyers
3783,281,3,303.0,1.0,Regular Buyers
3782,278,2,100.0,1.0,Lost Customers
3781,278,3,300.0,1.0,Regular Buyers
3776,275,3,285.0,1.0,Regular Buyers
3774,274,2,100.0,1.0,Lost Customers
3773,269,3,240.0,1.0,Regular Buyers
3772,268,3,300.0,1.0,Regular Buyers
3770,268,3,300.0,1.0,Regular Buyers
3769,266,2,172.0,1.0,Lost Customers
3768,266,3,300.0,1.0,Regular Buyers
3767,265,3,360.0,1.0,Regular Buyers
3817,323,2,50.0,1.0,Lost Customers
3816,323,2,100.0,1.0,Lost Customers
3815,323,2,50.0,1.0,Lost Customers
3814,322,5,475.0,1.0,High-Value Buyers
3813,322,2,50.0,1.0,Lost Customers
3812,322,2,50.0,1.0,Lost Customers
3811,321,3,300.0,1.0,Regular Buyers
3810,321,2,184.0,1.0,Lost Customers
3809,318,4,432.0,1.0,High-Value Buyers
3806,315,2,184.0,1.0,Lost Customers
3805,313,2,50.0,1.0,Lost Customers
3804,312,2,184.0,1.0,Lost Customers
3803,310,2,50.0,1.0,Lost Customers
3802,310,3,255.0,1.0,Regular Buyers
3798,306,4,520.0,1.0,High-Value Buyers
3797,306,3,468.0,1.0,Regular Buyers
3833,323,2,100.0,1.0,Lost Customers
3832,323,2,50.0,1.0,Lost Customers
3831,323,3,345.0,1.0,Regular Buyers
3830,323,2,100.0,1.0,Lost Customers
3829,323,2,100.0,1.0,Lost Customers
3828,323,2,50.0,1.0,Lost Customers
3827,323,2,50.0,1.0,Lost Customers
3826,323,2,100.0,1.0,Lost Customers
3825,323,2,50.0,1.0,Lost Customers
3824,323,2,50.0,1.0,Lost Customers
3823,323,2,50.0,1.0,Lost Customers
3822,323,2,50.0,1.0,Lost Customers
3821,323,2,100.0,1.0,Lost Customers
3820,323,3,150.0,1.0,Regular Buyers
3819,323,2,100.0,1.0,Lost Customers
3818,323,2,100.0,1.0,Lost Customers
3900,734,2,60.0,1.0,Lost Customers
3899,682,4,72.0,1.0,Regular Buyers
3898,660,2,68.0,1.0,Lost Customers
3897,655,2,60.0,1.0,Lost Customers
3896,649,3,87.0,1.0,Lost Customers
3895,645,2,60.0,1.0,Lost Customers
3894,605,2,60.0,1.0,Lost Customers
