category,nb_produits_conc,avg_price_conc,avg_confidence,avg_cat_popularity,avg_occurrence_score,avg_conc_coverage,recommendation_score,niveau_recommandation
handcrafted ceramics,262,31.49497709923664,0.9304389312977099,0.5368852459016393,1.0,1.0,0.7973638311850832,Fortement recommandee
cosmetiques et soins,206,23.327184466019414,0.9605181347150259,0.39549180327868855,1.0,1.0,0.748326254990232,Fortement recommandee
olive wood,152,40.29213157894736,0.9416776315789473,0.3114754098360656,1.0,1.0,0.7100095718291631,Fortement recommandee
rugs & kilim,131,254.91359999999997,0.8963076923076922,0.26639344262295084,1.0,1.0,0.6806343001261034,Fortement recommandee
accessories,168,107.14324096385542,0.7961688311688312,0.3155737704918033,1.0,1.0,0.6752717159889291,Fortement recommandee
gifts,867,-1.0,0.5,1.0,0.3,0.3,0.63,Fortement recommandee
homeware,87,212.67229629629628,0.7799999999999999,0.1598360655737705,1.0,1.0,0.6089344262295082,Fortement recommandee
fouta towel & blankets,46,66.55308695652174,0.8501086956521738,0.09426229508196719,1.0,1.0,0.6002320919458304,Fortement recommandee
luminaires,8,321.25,0.913125,0.01639344262295082,1.0,1.0,0.5848386270491803,Recommandee
social projects,47,152.24936170212766,0.6728723404255319,0.09631147540983605,1.0,1.0,0.5567426752703174,Recommandee
home & decor,704,-1.0,0.5,0.81199538638985,0.3,0.3,0.5547981545559401,Recommandee
art de la table,11,122.36363636363636,0.7713636363636364,0.022540983606557378,1.0,1.0,0.551857302533532,Recommandee
nouveautés,6,75.0,0.7875,0.012295081967213115,1.0,1.0,0.5517930327868853,Recommandee
la touche déco,12,82.33333333333333,0.7670833333333333,0.02459016393442623,1.0,1.0,0.5516068989071038,Recommandee
coffrets cadeaux,11,131.13636363636363,0.7518181818181818,0.022540983606557378,1.0,1.0,0.5469709388971684,Recommandee
rangements,12,172.83333333333334,0.7179166666666666,0.02459016393442623,1.0,1.0,0.5393152322404372,Recommandee
linge de maison,5,93.6,0.653,0.010245901639344262,1.0,1.0,0.5173483606557377,Recommandee
clothing,609,-1.0,0.5,0.7024221453287197,0.3,0.3,0.510968858131488,Recommandee
beauty products,421,-1.0,0.5,0.4855824682814302,0.3,0.3,0.4242329873125721,Recommandee
gastronomy,307,-1.0,0.5,0.35409457900807384,0.3,0.3,0.3716378316032295,A surveiller
fashion accessories,201,-1.0,0.5,0.23183391003460208,0.3,0.3,0.32273356401384085,A surveiller
beauty products > hair care > hair care accessories,32,-1.0,0.5,0.03690888119953864,0.3,0.3,0.24476355247981546,A surveiller
