product,category,avg_price,nb_concurrents,nb_occurrences,cat_total_products,cat_avg_price,cat_nb_concurrents,feat_cat_popularity,feat_price_distance,feat_occurrence_score,feat_concurrent_coverage,predicted_category,confidence_score,correct_prediction,feat_price_attractiveness,cat_score,product_score,niveau_recommandation
q-floral ceramic rectangular dish plate,handcrafted ceramics,31.2,1,1,262,31.49497709923664,1,0.5368852459016393,0.009365845510582817,1.0,1.0,handcrafted ceramics,0.97,True,0.990721059611597,0.7973638311850832,0.8584219213785043,Priorite haute
q-floral ceramic hexagonal dish,handcrafted ceramics,31.2,1,1,262,31.49497709923664,1,0.5368852459016393,0.009365845510582817,1.0,1.0,handcrafted ceramics,0.955,True,0.990721059611597,0.7973638311850832,0.8546719213785042,Priorite haute
q-handmade ceramics oval plate,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.98,True,0.9176858153132524,0.7973638311850832,0.8536183969486698,Priorite haute
q-handcrafted trio ceramic snack plate blue color,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.975,True,0.9176858153132524,0.7973638311850832,0.8523683969486698,Priorite haute
q-handmade decorated ceramic tureen,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.975,True,0.9176858153132524,0.7973638311850832,0.8523683969486698,Priorite haute
q-olive oil bottle ceramics ' face ',handcrafted ceramics,26.52,1,1,262,31.49497709923664,1,0.5368852459016393,0.15796096392133133,1.0,1.0,handcrafted ceramics,0.995,True,0.8635869698176952,0.7973638311850832,0.8519585123991141,Priorite haute
q-olive oil bottle ceramics ' jilani ',handcrafted ceramics,26.52,1,1,262,31.49497709923664,1,0.5368852459016393,0.15796096392133133,1.0,1.0,handcrafted ceramics,0.995,True,0.8635869698176952,0.7973638311850832,0.8519585123991141,Priorite haute
q-olive oil bottle ceramics ' khat ',handcrafted ceramics,26.52,1,1,262,31.49497709923664,1,0.5368852459016393,0.15796096392133133,1.0,1.0,handcrafted ceramics,0.995,True,0.8635869698176952,0.7973638311850832,0.8519585123991141,Priorite haute
q-olive oil bottle ceramics' flowers ',handcrafted ceramics,26.52,1,1,262,31.49497709923664,1,0.5368852459016393,0.15796096392133133,1.0,1.0,handcrafted ceramics,0.995,True,0.8635869698176952,0.7973638311850832,0.8519585123991141,Priorite haute
q-handcrafted trio ceramic snack plate green color,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.97,True,0.9176858153132524,0.7973638311850832,0.8511183969486699,Priorite haute
q-ceramic deep salad bowl,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,1.0,True,0.8412119994130512,0.7973638311850832,0.8509710153586496,Priorite haute
q-ceramic butter dish,handcrafted ceramics,28.08,1,1,262,31.49497709923664,1,0.5368852459016393,0.1084292577844152,1.0,1.0,handcrafted ceramics,0.975,True,0.9021775570944878,0.7973638311850832,0.8508175711267933,Priorite haute
q-ceramic oval plate,handcrafted ceramics,25.272,1,1,262,31.49497709923664,1,0.5368852459016393,0.1975863288308643,1.0,1.0,handcrafted ceramics,0.995,True,0.8350128720793292,0.7973638311850832,0.8491011026252775,Priorite haute
q-khomsa appetizer tray – blue | tunisian ceramic,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.96,True,0.9176858153132524,0.7973638311850832,0.8486183969486698,Priorite haute
q-deep salad bowl green color,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.96,True,0.9176858153132524,0.7973638311850832,0.8486183969486698,Priorite haute
q-handmade ceramic octagonal dish,handcrafted ceramics,24.96,1,1,262,31.49497709923664,1,0.5368852459016393,0.20749267005824745,1.0,1.0,handcrafted ceramics,0.995,True,0.8281623771279388,0.7973638311850832,0.8484160531301385,Priorite haute
q-ceramic rectangular dish,handcrafted ceramics,28.08,1,1,262,31.49497709923664,1,0.5368852459016393,0.1084292577844152,1.0,1.0,handcrafted ceramics,0.965,True,0.9021775570944878,0.7973638311850832,0.8483175711267933,Priorite haute
q-large floral ceramic serving bowl,handcrafted ceramics,25.272,1,1,262,31.49497709923664,1,0.5368852459016393,0.1975863288308643,1.0,1.0,handcrafted ceramics,0.99,True,0.8350128720793292,0.7973638311850832,0.8478511026252774,Priorite haute
q-oval salad bowl - makroudh rouge,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,0.985,True,0.8412119994130512,0.7973638311850832,0.8472210153586497,Priorite haute
q-handmade ceramics flat plate,handcrafted ceramics,24.96,1,1,262,31.49497709923664,1,0.5368852459016393,0.20749267005824745,1.0,1.0,handcrafted ceramics,0.99,True,0.8281623771279388,0.7973638311850832,0.8471660531301384,Priorite haute
q-handmade flat plate : green ceramics,handcrafted ceramics,24.96,1,1,262,31.49497709923664,1,0.5368852459016393,0.20749267005824745,1.0,1.0,handcrafted ceramics,0.99,True,0.8281623771279388,0.7973638311850832,0.8471660531301384,Priorite haute
q-oval salad bowl – lara,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,0.98,True,0.8412119994130512,0.7973638311850832,0.8459710153586497,Priorite haute
q-handmade ceramic serving plate,handcrafted ceramics,23.4,1,1,262,31.49497709923664,1,0.5368852459016393,0.2570243761951637,1.0,1.0,handcrafted ceramics,0.995,True,0.795529521095573,0.7973638311850832,0.8451527675269018,Priorite haute
q-decorated ceramic deep salad profond,handcrafted ceramics,37.44,1,1,262,31.49497709923664,1,0.5368852459016393,0.18876097903708183,1.0,1.0,handcrafted ceramics,0.975,True,0.8412119994130512,0.7973638311850832,0.8447210153586497,Priorite haute
q-handmade ceramic bread basket,handcrafted ceramics,24.96,1,1,262,31.49497709923664,1,0.5368852459016393,0.20749267005824745,1.0,1.0,handcrafted ceramics,0.98,True,0.8281623771279388,0.7973638311850832,0.8446660531301384,Priorite haute
q-handmade ceramic egg cup,handcrafted ceramics,21.84,1,1,262,31.49497709923664,1,0.5368852459016393,0.30655608233207987,1.0,1.0,handcrafted ceramics,1.0,True,0.7653708964525227,0.7973638311850832,0.8433869050625968,Priorite haute
q-deep salad bowl blue color,handcrafted ceramics,34.32,1,1,262,31.49497709923664,1,0.5368852459016393,0.08969756676324957,1.0,1.0,handcrafted ceramics,0.935,True,0.9176858153132524,0.7973638311850832,0.8423683969486698,Priorite haute
q-tunisian handcrafted ceramic plate,handcrafted ceramics,39.0,1,1,262,31.49497709923664,1,0.5368852459016393,0.23829268517399807,1.0,1.0,handcrafted ceramics,0.975,True,0.8075635202993107,0.7973638311850832,0.8413561674472756,Priorite haute
q-blue floral ceramic trivet,handcrafted ceramics,24.96,1,1,262,31.49497709923664,1,0.5368852459016393,0.20749267005824745,1.0,1.0,handcrafted ceramics,0.965,True,0.8281623771279388,0.7973638311850832,0.8409160531301384,Priorite haute
q-handmade ceramics decorated plate,handcrafted ceramics,21.84,1,1,262,31.49497709923664,1,0.5368852459016393,0.30655608233207987,1.0,1.0,handcrafted ceramics,0.99,True,0.7653708964525227,0.7973638311850832,0.8408869050625968,Priorite haute
